ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_1067_Nucleus.ome.tiff,image_1067_Nucleus.ome_fake_B.png,0.6384,0.0130,0.0763,71.8321,0.6618
image_2049_Nucleus.ome.tiff,image_2049_Nucleus.ome_fake_B.png,0.6183,0.4958,0.0655,89.1058,0.1305
image_2166_Nucleus.ome.tiff,image_2166_Nucleus.ome_fake_B.png,0.6756,0.3676,0.0699,126.1262,0.2455
image_338_Nucleus.ome.tiff,image_338_Nucleus.ome_fake_B.png,0.1425,0.1576,0.0769,145.3009,0.7693
image_1135_Nucleus.ome.tiff,image_1135_Nucleus.ome_fake_B.png,0.6850,0.2643,0.0678,69.4885,0.5226
image_1131_Nucleus.ome.tiff,image_1131_Nucleus.ome_fake_B.png,0.8525,0.7649,0.0326,34.8953,0.1166
image_1679_Nucleus.ome.tiff,image_1679_Nucleus.ome_fake_B.png,0.7620,0.4552,0.0422,50.0921,0.3961
image_2265_Nucleus.ome.tiff,image_2265_Nucleus.ome_fake_B.png,0.5617,0.4455,0.0900,127.8685,0.2182
image_913_Nucleus.ome.tiff,image_913_Nucleus.ome_fake_B.png,0.7623,0.3416,0.0513,60.1212,0.4989
image_22_Nucleus.ome.tiff,image_22_Nucleus.ome_fake_B.png,0.7778,0.0886,0.0484,223.5688,0.5080
image_1988_Nucleus.ome.tiff,image_1988_Nucleus.ome_fake_B.png,0.7512,0.6455,0.0460,92.7010,0.1112
image_1543_Nucleus.ome.tiff,image_1543_Nucleus.ome_fake_B.png,0.6795,0.5920,0.0507,53.1046,0.3130
image_816_Nucleus.ome.tiff,image_816_Nucleus.ome_fake_B.png,0.6402,0.3722,0.0608,59.2556,0.4038
image_1811_Nucleus.ome.tiff,image_1811_Nucleus.ome_fake_B.png,0.6501,0.2449,0.0733,126.5969,0.2753
image_479_Nucleus.ome.tiff,image_479_Nucleus.ome_fake_B.png,0.6965,0.0504,0.0862,79.7239,0.4320
image_1938_Nucleus.ome.tiff,image_1938_Nucleus.ome_fake_B.png,0.6009,0.2942,0.0803,129.5133,0.2469
image_1298_Nucleus.ome.tiff,image_1298_Nucleus.ome_fake_B.png,0.5740,0.2311,0.0791,72.4575,0.5515
