ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_1407_Nucleus.ome.tiff,image_1407_Nucleus.ome_fake_B.png,0.8192,0.4754,0.0518,52.8833,0.1977
image_1417_Nucleus.ome.tiff,image_1417_Nucleus.ome_fake_B.png,0.5547,-0.0708,0.0909,78.8866,0.6103
image_2197_Nucleus.ome.tiff,image_2197_Nucleus.ome_fake_B.png,0.3419,0.3312,0.1179,149.4639,0.4285
image_1645_Nucleus.ome.tiff,image_1645_Nucleus.ome_fake_B.png,0.6935,0.6088,0.0534,54.3199,0.2722
image_1847_Nucleus.ome.tiff,image_1847_Nucleus.ome_fake_B.png,0.6388,0.4495,0.0668,108.2854,0.1651
image_1554_Nucleus.ome.tiff,image_1554_Nucleus.ome_fake_B.png,0.7862,0.2828,0.0543,56.1694,0.1960
image_1206_Nucleus.ome.tiff,image_1206_Nucleus.ome_fake_B.png,0.7391,0.4200,0.0695,63.3845,0.2268
image_1758_Nucleus.ome.tiff,image_1758_Nucleus.ome_fake_B.png,0.5790,0.4050,0.0755,124.4222,0.1683
image_2319_Nucleus.ome.tiff,image_2319_Nucleus.ome_fake_B.png,0.6983,0.5993,0.0590,242.6103,0.2937
image_1720_Nucleus.ome.tiff,image_1720_Nucleus.ome_fake_B.png,0.6872,0.2899,0.0709,101.6366,0.1749
image_1535_Nucleus.ome.tiff,image_1535_Nucleus.ome_fake_B.png,0.6673,0.7055,0.0566,46.8577,0.1944
image_1650_Nucleus.ome.tiff,image_1650_Nucleus.ome_fake_B.png,0.6900,-0.0733,0.0644,67.5097,0.7455
image_696_Nucleus.ome.tiff,image_696_Nucleus.ome_fake_B.png,0.7080,0.3636,0.0697,73.0522,0.4388
image_2517_Nucleus.ome.tiff,image_2517_Nucleus.ome_fake_B.png,0.7328,0.5024,0.0358,209.0858,0.4569
image_1439_Nucleus.ome.tiff,image_1439_Nucleus.ome_fake_B.png,0.7005,0.3226,0.0673,69.8950,0.4637
image_87_Nucleus.ome.tiff,image_87_Nucleus.ome_fake_B.png,0.5833,0.3405,0.0733,123.6257,0.3322
image_867_Nucleus.ome.tiff,image_867_Nucleus.ome_fake_B.png,0.7481,0.3502,0.0713,56.7267,0.2633
image_2038_Nucleus.ome.tiff,image_2038_Nucleus.ome_fake_B.png,0.6840,0.4502,0.0529,97.3797,0.1323
image_1352_Nucleus.ome.tiff,image_1352_Nucleus.ome_fake_B.png,0.7394,0.2392,0.0745,64.3815,0.2816
image_1747_Nucleus.ome.tiff,image_1747_Nucleus.ome_fake_B.png,0.5638,0.0688,0.0879,144.9799,0.2621
image_345_Nucleus.ome.tiff,image_345_Nucleus.ome_fake_B.png,0.5992,0.2845,0.1096,211.2922,0.3942
image_656_Nucleus.ome.tiff,image_656_Nucleus.ome_fake_B.png,0.7703,0.2935,0.0656,62.9761,0.2060
image_2442_Nucleus.ome.tiff,image_2442_Nucleus.ome_fake_B.png,0.7778,0.6493,0.0449,221.7296,0.2791
