ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_822_Mitochondria.ome.tiff,image_822_Mitochondria.ome_fake_B.png,0.7094,0.4610,0.0511,51.5865,0.3156
image_762_Mitochondria.ome.tiff,image_762_Mitochondria.ome_fake_B.png,0.8430,0.5223,0.0298,37.9059,0.2798
image_76_Mitochondria.ome.tiff,image_76_Mitochondria.ome_fake_B.png,0.5308,0.5517,0.0455,93.4611,0.3664
image_1218_Mitochondria.ome.tiff,image_1218_Mitochondria.ome_fake_B.png,0.5684,0.4433,0.0632,57.5719,0.3445
image_1419_Mitochondria.ome.tiff,image_1419_Mitochondria.ome_fake_B.png,0.6583,0.3010,0.0512,50.8884,0.4280
image_1170_Mitochondria.ome.tiff,image_1170_Mitochondria.ome_fake_B.png,0.6559,0.2073,0.0526,52.0577,0.5140
image_1535_Mitochondria.ome.tiff,image_1535_Mitochondria.ome_fake_B.png,0.5740,0.2909,0.0646,55.6855,0.3984
image_1547_Mitochondria.ome.tiff,image_1547_Mitochondria.ome_fake_B.png,0.6060,0.3965,0.0365,35.1992,0.3950
image_379_Mitochondria.ome.tiff,image_379_Mitochondria.ome_fake_B.png,0.5859,0.1980,0.0608,106.7684,0.3914
image_789_Mitochondria.ome.tiff,image_789_Mitochondria.ome_fake_B.png,0.5173,0.1945,0.0764,60.0838,0.3621
image_1138_Mitochondria.ome.tiff,image_1138_Mitochondria.ome_fake_B.png,0.6659,0.4655,0.0534,47.9410,0.2852
image_1139_Mitochondria.ome.tiff,image_1139_Mitochondria.ome_fake_B.png,0.6699,0.3989,0.0595,55.9798,0.3385
image_2330_Mitochondria.ome.tiff,image_2330_Mitochondria.ome_fake_B.png,0.7356,0.5070,0.0352,156.3755,0.3891
image_364_Mitochondria.ome.tiff,image_364_Mitochondria.ome_fake_B.png,0.5476,0.4573,0.0708,118.0098,0.2726
image_796_Mitochondria.ome.tiff,image_796_Mitochondria.ome_fake_B.png,0.7110,0.5232,0.0584,59.0627,0.2879
image_1114_Mitochondria.ome.tiff,image_1114_Mitochondria.ome_fake_B.png,0.7174,0.2339,0.0418,35.4620,0.3110
image_1460_Mitochondria.ome.tiff,image_1460_Mitochondria.ome_fake_B.png,0.6889,0.5361,0.0404,39.2969,0.2868
image_1575_Mitochondria.ome.tiff,image_1575_Mitochondria.ome_fake_B.png,0.6684,0.1287,0.0526,50.9070,0.4868
image_508_Mitochondria.ome.tiff,image_508_Mitochondria.ome_fake_B.png,0.7285,0.2506,0.0405,43.6810,0.4346
image_156_Mitochondria.ome.tiff,image_156_Mitochondria.ome_fake_B.png,0.4265,0.6878,0.0401,168.1686,0.2649
image_1216_Mitochondria.ome.tiff,image_1216_Mitochondria.ome_fake_B.png,0.5080,0.4437,0.0975,77.8511,0.2674
image_1072_Mitochondria.ome.tiff,image_1072_Mitochondria.ome_fake_B.png,0.6220,0.4099,0.0666,60.4950,0.3207
image_263_Mitochondria.ome.tiff,image_263_Mitochondria.ome_fake_B.png,0.4718,0.2309,0.1070,190.9125,0.3801
image_1262_Mitochondria.ome.tiff,image_1262_Mitochondria.ome_fake_B.png,0.7032,0.4248,0.0491,53.5434,0.3869
image_699_Mitochondria.ome.tiff,image_699_Mitochondria.ome_fake_B.png,0.5975,0.2719,0.0564,50.5839,0.4399
image_555_Mitochondria.ome.tiff,image_555_Mitochondria.ome_fake_B.png,0.6722,0.4268,0.0440,45.7089,0.3941
image_182_Mitochondria.ome.tiff,image_182_Mitochondria.ome_fake_B.png,0.5328,0.2598,0.0857,256.1831,0.3327
image_2498_Mitochondria.ome.tiff,image_2498_Mitochondria.ome_fake_B.png,0.4513,0.5143,0.0398,181.1811,0.4010
image_916_Mitochondria.ome.tiff,image_916_Mitochondria.ome_fake_B.png,0.6485,0.1147,0.0479,48.9314,0.5898
image_1650_Mitochondria.ome.tiff,image_1650_Mitochondria.ome_fake_B.png,0.6291,0.2515,0.0573,57.5628,0.5348
image_2350_Mitochondria.ome.tiff,image_2350_Mitochondria.ome_fake_B.png,0.6704,0.2871,0.0419,171.5579,0.5323
image_1137_Mitochondria.ome.tiff,image_1137_Mitochondria.ome_fake_B.png,0.7205,0.3833,0.0463,48.1850,0.3712
