ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_282_Mitochondria.ome.tiff,image_282_Mitochondria.ome_fake_B.png,0.7911,0.5079,0.0313,86.6627,0.3544
image_75_Mitochondria.ome.tiff,image_75_Mitochondria.ome_fake_B.png,0.6324,0.4232,0.0344,71.5000,0.3728
image_2443_Mitochondria.ome.tiff,image_2443_Mitochondria.ome_fake_B.png,0.5700,0.3188,0.0631,214.4604,0.4136
image_1146_Mitochondria.ome.tiff,image_1146_Mitochondria.ome_fake_B.png,0.7019,0.5836,0.0404,43.7877,0.2988
image_1361_Mitochondria.ome.tiff,image_1361_Mitochondria.ome_fake_B.png,0.5370,0.2791,0.0496,43.9308,0.4718
image_459_Mitochondria.ome.tiff,image_459_Mitochondria.ome_fake_B.png,0.6434,0.3778,0.0560,53.2891,0.3387
image_1595_Mitochondria.ome.tiff,image_1595_Mitochondria.ome_fake_B.png,0.6455,0.4502,0.0510,50.3338,0.3474
image_7_Mitochondria.ome.tiff,image_7_Mitochondria.ome_fake_B.png,0.5046,0.3440,0.0622,205.3181,0.4581
image_8_Mitochondria.ome.tiff,image_8_Mitochondria.ome_fake_B.png,0.7131,0.2114,0.0502,189.9035,0.4583
image_1697_Mitochondria.ome.tiff,image_1697_Mitochondria.ome_fake_B.png,0.6720,0.5279,0.0567,53.8805,0.2456
image_675_Mitochondria.ome.tiff,image_675_Mitochondria.ome_fake_B.png,0.7108,0.4568,0.0439,48.5140,0.3545
image_899_Mitochondria.ome.tiff,image_899_Mitochondria.ome_fake_B.png,0.5756,0.2801,0.0551,49.2104,0.4538
image_483_Mitochondria.ome.tiff,image_483_Mitochondria.ome_fake_B.png,0.7491,0.3935,0.0379,45.3649,0.4089
image_391_Mitochondria.ome.tiff,image_391_Mitochondria.ome_fake_B.png,0.3105,-0.0193,0.1720,265.2668,0.3662
image_1041_Mitochondria.ome.tiff,image_1041_Mitochondria.ome_fake_B.png,0.5574,0.1524,0.0695,55.9191,0.3763
image_2340_Mitochondria.ome.tiff,image_2340_Mitochondria.ome_fake_B.png,0.2903,0.5672,0.0329,92.4137,0.4497
image_1570_Mitochondria.ome.tiff,image_1570_Mitochondria.ome_fake_B.png,0.6874,0.5875,0.0395,38.4882,0.2655
image_5_Mitochondria.ome.tiff,image_5_Mitochondria.ome_fake_B.png,0.3527,0.1259,0.0915,265.2264,0.5971
image_633_Mitochondria.ome.tiff,image_633_Mitochondria.ome_fake_B.png,0.6407,0.4225,0.0605,55.8238,0.2984
image_929_Mitochondria.ome.tiff,image_929_Mitochondria.ome_fake_B.png,0.2081,0.1541,0.2376,129.0639,0.1799
image_1167_Mitochondria.ome.tiff,image_1167_Mitochondria.ome_fake_B.png,0.6391,0.3126,0.0465,41.6373,0.3578
image_2402_Mitochondria.ome.tiff,image_2402_Mitochondria.ome_fake_B.png,0.6249,0.3821,0.0595,208.6486,0.3780
image_891_Mitochondria.ome.tiff,image_891_Mitochondria.ome_fake_B.png,0.5362,0.2772,0.0757,61.4604,0.3086
image_1144_Mitochondria.ome.tiff,image_1144_Mitochondria.ome_fake_B.png,0.7034,0.2004,0.0498,46.4876,0.3117
image_2317_Mitochondria.ome.tiff,image_2317_Mitochondria.ome_fake_B.png,0.8013,0.5192,0.0258,133.9467,0.3953
image_738_Mitochondria.ome.tiff,image_738_Mitochondria.ome_fake_B.png,0.6575,0.4922,0.0469,43.1607,0.2744
image_1578_Mitochondria.ome.tiff,image_1578_Mitochondria.ome_fake_B.png,0.7464,0.5587,0.0482,45.1044,0.2144
image_2419_Mitochondria.ome.tiff,image_2419_Mitochondria.ome_fake_B.png,0.6793,0.4884,0.0438,172.0643,0.3669
image_1582_Mitochondria.ome.tiff,image_1582_Mitochondria.ome_fake_B.png,0.6704,0.5336,0.0547,53.6590,0.3160
image_2430_Mitochondria.ome.tiff,image_2430_Mitochondria.ome_fake_B.png,0.7311,0.7062,0.0456,209.9177,0.2349
image_2329_Mitochondria.ome.tiff,image_2329_Mitochondria.ome_fake_B.png,0.7730,0.5478,0.0334,153.6729,0.3397
image_710_Mitochondria.ome.tiff,image_710_Mitochondria.ome_fake_B.png,0.7137,0.4311,0.0365,38.7205,0.3768
image_2442_Mitochondria.ome.tiff,image_2442_Mitochondria.ome_fake_B.png,0.7460,0.4657,0.0304,133.1342,0.3904
image_1052_Mitochondria.ome.tiff,image_1052_Mitochondria.ome_fake_B.png,0.7280,0.5207,0.0448,44.0252,0.2672
image_1093_Mitochondria.ome.tiff,image_1093_Mitochondria.ome_fake_B.png,0.6436,0.2265,0.0599,53.6928,0.3646
image_11_Mitochondria.ome.tiff,image_11_Mitochondria.ome_fake_B.png,0.4032,0.1408,0.0728,241.3071,0.6156
image_627_Mitochondria.ome.tiff,image_627_Mitochondria.ome_fake_B.png,0.7033,0.4080,0.0467,46.7961,0.3672
image_666_Mitochondria.ome.tiff,image_666_Mitochondria.ome_fake_B.png,0.6511,0.3530,0.0454,43.7252,0.3940
image_319_Mitochondria.ome.tiff,image_319_Mitochondria.ome_fake_B.png,0.5882,0.0700,0.0854,149.1479,0.3614
image_1476_Mitochondria.ome.tiff,image_1476_Mitochondria.ome_fake_B.png,0.5693,0.2244,0.0622,55.4389,0.4456
image_1537_Mitochondria.ome.tiff,image_1537_Mitochondria.ome_fake_B.png,0.4775,0.4054,0.0806,62.8780,0.2753
image_477_Mitochondria.ome.tiff,image_477_Mitochondria.ome_fake_B.png,0.7533,0.3641,0.0348,39.7080,0.4214
image_516_Mitochondria.ome.tiff,image_516_Mitochondria.ome_fake_B.png,0.6136,0.2574,0.0643,49.0380,0.4027
image_1383_Mitochondria.ome.tiff,image_1383_Mitochondria.ome_fake_B.png,0.5510,0.2360,0.0690,59.7076,0.4246
image_1674_Mitochondria.ome.tiff,image_1674_Mitochondria.ome_fake_B.png,0.6607,0.4422,0.0498,49.7908,0.3573
image_2300_Mitochondria.ome.tiff,image_2300_Mitochondria.ome_fake_B.png,0.4801,0.6726,0.0278,110.9357,0.2780
image_376_Mitochondria.ome.tiff,image_376_Mitochondria.ome_fake_B.png,0.6866,0.4968,0.0347,69.9220,0.3574
image_4_Mitochondria.ome.tiff,image_4_Mitochondria.ome_fake_B.png,0.5360,0.2654,0.0707,221.7714,0.4470
image_833_Mitochondria.ome.tiff,image_833_Mitochondria.ome_fake_B.png,0.6595,0.3876,0.0433,42.0898,0.3684
image_1422_Mitochondria.ome.tiff,image_1422_Mitochondria.ome_fake_B.png,0.5710,0.1933,0.0652,56.4219,0.4215
image_597_Mitochondria.ome.tiff,image_597_Mitochondria.ome_fake_B.png,0.6601,0.3023,0.0452,46.1625,0.4364
image_783_Mitochondria.ome.tiff,image_783_Mitochondria.ome_fake_B.png,0.5369,0.1527,0.0691,55.2571,0.2989
image_693_Mitochondria.ome.tiff,image_693_Mitochondria.ome_fake_B.png,0.6461,0.2675,0.0529,51.9762,0.4751
image_207_Mitochondria.ome.tiff,image_207_Mitochondria.ome_fake_B.png,0.5737,0.4318,0.0830,257.3259,0.2591
image_1159_Mitochondria.ome.tiff,image_1159_Mitochondria.ome_fake_B.png,0.6141,0.2650,0.0554,47.9157,0.3115
image_1638_Mitochondria.ome.tiff,image_1638_Mitochondria.ome_fake_B.png,0.6206,0.4086,0.0510,49.4896,0.3715
image_285_Mitochondria.ome.tiff,image_285_Mitochondria.ome_fake_B.png,0.7133,0.3471,0.0381,104.2604,0.5172
image_139_Mitochondria.ome.tiff,image_139_Mitochondria.ome_fake_B.png,0.7633,0.4954,0.0501,204.9616,0.3276
image_90_Mitochondria.ome.tiff,image_90_Mitochondria.ome_fake_B.png,0.6542,0.4470,0.0323,67.8582,0.3514
image_814_Mitochondria.ome.tiff,image_814_Mitochondria.ome_fake_B.png,0.6111,0.3744,0.0565,55.1832,0.4008
image_2377_Mitochondria.ome.tiff,image_2377_Mitochondria.ome_fake_B.png,0.7867,0.4330,0.0387,190.8566,0.4497
image_1589_Mitochondria.ome.tiff,image_1589_Mitochondria.ome_fake_B.png,0.6327,0.2726,0.0439,46.1769,0.5204
image_2496_Mitochondria.ome.tiff,image_2496_Mitochondria.ome_fake_B.png,0.3136,0.5308,0.0879,216.7684,0.3110
image_1032_Mitochondria.ome.tiff,image_1032_Mitochondria.ome_fake_B.png,0.6683,0.3980,0.0520,48.6658,0.3099
image_802_Mitochondria.ome.tiff,image_802_Mitochondria.ome_fake_B.png,0.6665,0.3891,0.0452,46.4220,0.4163
image_730_Mitochondria.ome.tiff,image_730_Mitochondria.ome_fake_B.png,0.6800,0.3379,0.0422,44.2465,0.4240
image_1222_Mitochondria.ome.tiff,image_1222_Mitochondria.ome_fake_B.png,0.5862,0.3916,0.0532,49.6809,0.3604
image_818_Mitochondria.ome.tiff,image_818_Mitochondria.ome_fake_B.png,0.6887,0.4425,0.0445,45.3084,0.3411
image_84_Mitochondria.ome.tiff,image_84_Mitochondria.ome_fake_B.png,0.5320,0.4303,0.0490,100.5776,0.4813
image_832_Mitochondria.ome.tiff,image_832_Mitochondria.ome_fake_B.png,0.6649,0.3329,0.0566,55.3754,0.3652
image_947_Mitochondria.ome.tiff,image_947_Mitochondria.ome_fake_B.png,0.7099,0.3284,0.0429,42.6209,0.3738
image_1581_Mitochondria.ome.tiff,image_1581_Mitochondria.ome_fake_B.png,0.6452,0.0823,0.0738,56.9826,0.1729
image_201_Mitochondria.ome.tiff,image_201_Mitochondria.ome_fake_B.png,0.4978,0.1360,0.1112,318.9406,0.3242
image_1487_Mitochondria.ome.tiff,image_1487_Mitochondria.ome_fake_B.png,0.6418,0.3632,0.0599,55.3444,0.3000
image_1077_Mitochondria.ome.tiff,image_1077_Mitochondria.ome_fake_B.png,0.6167,0.2774,0.0597,56.8540,0.4446
image_1164_Mitochondria.ome.tiff,image_1164_Mitochondria.ome_fake_B.png,0.7121,0.4526,0.0444,43.4261,0.3269
image_2380_Mitochondria.ome.tiff,image_2380_Mitochondria.ome_fake_B.png,0.7414,0.5408,0.0412,164.1057,0.3222
image_1518_Mitochondria.ome.tiff,image_1518_Mitochondria.ome_fake_B.png,0.5268,0.2215,0.0746,57.2823,0.3173
image_169_Mitochondria.ome.tiff,image_169_Mitochondria.ome_fake_B.png,0.6343,0.3160,0.0483,212.6625,0.5174
image_370_Mitochondria.ome.tiff,image_370_Mitochondria.ome_fake_B.png,0.7817,0.5094,0.0284,76.7294,0.3342
image_1293_Mitochondria.ome.tiff,image_1293_Mitochondria.ome_fake_B.png,0.7735,0.4041,0.0350,34.7763,0.3155
image_12_Mitochondria.ome.tiff,image_12_Mitochondria.ome_fake_B.png,0.4063,0.2969,0.0782,249.8439,0.5371
image_750_Mitochondria.ome.tiff,image_750_Mitochondria.ome_fake_B.png,0.6564,0.2915,0.0413,42.1194,0.4155
image_867_Mitochondria.ome.tiff,image_867_Mitochondria.ome_fake_B.png,0.7498,0.5662,0.0425,44.9084,0.2674
image_834_Mitochondria.ome.tiff,image_834_Mitochondria.ome_fake_B.png,0.6658,0.3070,0.0513,47.9096,0.3523
image_2454_Mitochondria.ome.tiff,image_2454_Mitochondria.ome_fake_B.png,0.8115,0.6900,0.0209,108.5590,0.2500
image_1291_Mitochondria.ome.tiff,image_1291_Mitochondria.ome_fake_B.png,0.7315,0.2761,0.0440,46.2926,0.4171
image_1053_Mitochondria.ome.tiff,image_1053_Mitochondria.ome_fake_B.png,0.5458,0.0544,0.0747,65.5693,0.5652
image_1668_Mitochondria.ome.tiff,image_1668_Mitochondria.ome_fake_B.png,0.7636,0.3411,0.0377,42.8102,0.3795
image_1255_Mitochondria.ome.tiff,image_1255_Mitochondria.ome_fake_B.png,0.6403,0.3518,0.0672,59.3642,0.3512
image_196_Mitochondria.ome.tiff,image_196_Mitochondria.ome_fake_B.png,0.4736,0.4465,0.0863,263.6832,0.2666
image_1544_Mitochondria.ome.tiff,image_1544_Mitochondria.ome_fake_B.png,0.8464,0.3853,0.0273,34.1072,0.3065
image_1517_Mitochondria.ome.tiff,image_1517_Mitochondria.ome_fake_B.png,0.6642,0.3775,0.0526,50.7039,0.3214
image_931_Mitochondria.ome.tiff,image_931_Mitochondria.ome_fake_B.png,0.6805,0.5960,0.0484,48.9080,0.2718
image_37_Mitochondria.ome.tiff,image_37_Mitochondria.ome_fake_B.png,0.6197,0.2434,0.0580,197.7486,0.4731
image_671_Mitochondria.ome.tiff,image_671_Mitochondria.ome_fake_B.png,0.7618,0.4951,0.0410,49.0362,0.3625
image_2464_Mitochondria.ome.tiff,image_2464_Mitochondria.ome_fake_B.png,0.5252,0.4998,0.0864,259.1488,0.2540
image_2337_Mitochondria.ome.tiff,image_2337_Mitochondria.ome_fake_B.png,0.7394,0.4234,0.0354,157.6730,0.4154
image_687_Mitochondria.ome.tiff,image_687_Mitochondria.ome_fake_B.png,0.7697,0.3091,0.0422,47.1223,0.3477
image_1475_Mitochondria.ome.tiff,image_1475_Mitochondria.ome_fake_B.png,0.6344,0.4962,0.0495,44.7413,0.2735
image_67_Mitochondria.ome.tiff,image_67_Mitochondria.ome_fake_B.png,0.5580,0.3796,0.0450,92.6370,0.4994
image_574_Mitochondria.ome.tiff,image_574_Mitochondria.ome_fake_B.png,0.6827,0.2858,0.0447,46.3988,0.4467
image_1637_Mitochondria.ome.tiff,image_1637_Mitochondria.ome_fake_B.png,0.6123,0.5304,0.0405,40.3039,0.3382
image_1412_Mitochondria.ome.tiff,image_1412_Mitochondria.ome_fake_B.png,0.6665,0.2641,0.0583,56.8250,0.3969
image_2461_Mitochondria.ome.tiff,image_2461_Mitochondria.ome_fake_B.png,0.2648,0.7180,0.0292,82.7591,0.3691
image_1381_Mitochondria.ome.tiff,image_1381_Mitochondria.ome_fake_B.png,0.6583,0.4573,0.0523,49.2304,0.2809
image_175_Mitochondria.ome.tiff,image_175_Mitochondria.ome_fake_B.png,0.7417,0.4271,0.0446,179.7980,0.3722
image_2310_Mitochondria.ome.tiff,image_2310_Mitochondria.ome_fake_B.png,0.7918,0.6254,0.0317,155.9016,0.2969
image_898_Mitochondria.ome.tiff,image_898_Mitochondria.ome_fake_B.png,0.7179,0.4228,0.0433,43.9253,0.3416
image_549_Mitochondria.ome.tiff,image_549_Mitochondria.ome_fake_B.png,0.5649,0.1704,0.0683,58.3905,0.3650
image_1407_Mitochondria.ome.tiff,image_1407_Mitochondria.ome_fake_B.png,0.6513,0.4550,0.0654,58.7759,0.2755
image_258_Mitochondria.ome.tiff,image_258_Mitochondria.ome_fake_B.png,0.5171,0.2390,0.0918,162.4181,0.2848
image_80_Mitochondria.ome.tiff,image_80_Mitochondria.ome_fake_B.png,0.5565,0.4094,0.0560,114.8636,0.4826
image_2295_Mitochondria.ome.tiff,image_2295_Mitochondria.ome_fake_B.png,0.7990,0.5283,0.0317,167.3385,0.3923
image_2367_Mitochondria.ome.tiff,image_2367_Mitochondria.ome_fake_B.png,0.6979,0.5522,0.0251,132.1345,0.3813
image_1299_Mitochondria.ome.tiff,image_1299_Mitochondria.ome_fake_B.png,0.5099,0.1506,0.0510,43.6259,0.4373
image_2371_Mitochondria.ome.tiff,image_2371_Mitochondria.ome_fake_B.png,0.2822,0.6975,0.1119,289.3265,0.2357
image_902_Mitochondria.ome.tiff,image_902_Mitochondria.ome_fake_B.png,0.5866,0.3151,0.0580,49.8632,0.3857
image_433_Mitochondria.ome.tiff,image_433_Mitochondria.ome_fake_B.png,0.7103,0.1937,0.0404,43.1718,0.4951
image_2468_Mitochondria.ome.tiff,image_2468_Mitochondria.ome_fake_B.png,0.6895,0.5217,0.0478,170.1190,0.2948
image_396_Mitochondria.ome.tiff,image_396_Mitochondria.ome_fake_B.png,0.4338,0.0162,0.1292,204.3135,0.3008
image_1356_Mitochondria.ome.tiff,image_1356_Mitochondria.ome_fake_B.png,0.6950,0.4048,0.0455,39.3862,0.3074
image_1400_Mitochondria.ome.tiff,image_1400_Mitochondria.ome_fake_B.png,0.1441,0.1578,0.3220,175.4176,0.2005
image_451_Mitochondria.ome.tiff,image_451_Mitochondria.ome_fake_B.png,0.6147,0.1359,0.0553,50.3808,0.5052
image_2357_Mitochondria.ome.tiff,image_2357_Mitochondria.ome_fake_B.png,0.7845,0.6459,0.0259,133.8778,0.2932
image_1022_Mitochondria.ome.tiff,image_1022_Mitochondria.ome_fake_B.png,0.5719,0.0245,0.0723,64.5424,0.6103
image_713_Mitochondria.ome.tiff,image_713_Mitochondria.ome_fake_B.png,0.7065,0.5537,0.0379,39.1268,0.2839
image_887_Mitochondria.ome.tiff,image_887_Mitochondria.ome_fake_B.png,0.5858,0.2770,0.0543,50.6747,0.4531
image_1121_Mitochondria.ome.tiff,image_1121_Mitochondria.ome_fake_B.png,0.6210,0.3937,0.0553,53.0368,0.3884
image_257_Mitochondria.ome.tiff,image_257_Mitochondria.ome_fake_B.png,0.4464,0.2105,0.1120,176.0868,0.2976
image_1241_Mitochondria.ome.tiff,image_1241_Mitochondria.ome_fake_B.png,0.6527,0.3127,0.0613,56.6771,0.3532
image_515_Mitochondria.ome.tiff,image_515_Mitochondria.ome_fake_B.png,0.5360,0.3624,0.0630,54.1730,0.3794
image_128_Mitochondria.ome.tiff,image_128_Mitochondria.ome_fake_B.png,0.6887,0.4247,0.0438,185.8787,0.4113
image_360_Mitochondria.ome.tiff,image_360_Mitochondria.ome_fake_B.png,0.7561,0.1991,0.0388,81.3683,0.3706
image_1546_Mitochondria.ome.tiff,image_1546_Mitochondria.ome_fake_B.png,0.6831,0.2803,0.0477,45.1484,0.3622
image_354_Mitochondria.ome.tiff,image_354_Mitochondria.ome_fake_B.png,0.7133,0.3579,0.0372,81.3239,0.3590
image_2452_Mitochondria.ome.tiff,image_2452_Mitochondria.ome_fake_B.png,0.6449,0.5850,0.0399,161.9374,0.3106
image_1619_Mitochondria.ome.tiff,image_1619_Mitochondria.ome_fake_B.png,0.7134,0.2154,0.0493,47.9293,0.4257
image_1696_Mitochondria.ome.tiff,image_1696_Mitochondria.ome_fake_B.png,0.6469,0.4801,0.0481,47.5794,0.3340
image_161_Mitochondria.ome.tiff,image_161_Mitochondria.ome_fake_B.png,0.6530,0.4630,0.0735,240.5377,0.2810
image_460_Mitochondria.ome.tiff,image_460_Mitochondria.ome_fake_B.png,0.5171,0.4356,0.0841,66.3911,0.3289
image_344_Mitochondria.ome.tiff,image_344_Mitochondria.ome_fake_B.png,0.3062,0.1884,0.1761,261.4692,0.2375
image_1492_Mitochondria.ome.tiff,image_1492_Mitochondria.ome_fake_B.png,0.6721,0.3567,0.0445,47.3180,0.4363
image_690_Mitochondria.ome.tiff,image_690_Mitochondria.ome_fake_B.png,0.6674,0.3944,0.0572,53.5418,0.3146
image_2_Mitochondria.ome.tiff,image_2_Mitochondria.ome_fake_B.png,0.3675,0.2101,0.1083,299.1257,0.5089
image_355_Mitochondria.ome.tiff,image_355_Mitochondria.ome_fake_B.png,0.3892,0.4138,0.0860,141.4399,0.3676
image_500_Mitochondria.ome.tiff,image_500_Mitochondria.ome_fake_B.png,0.7532,0.5713,0.0442,47.2661,0.2628
image_1451_Mitochondria.ome.tiff,image_1451_Mitochondria.ome_fake_B.png,0.6080,0.4726,0.0804,70.5302,0.2646
image_1220_Mitochondria.ome.tiff,image_1220_Mitochondria.ome_fake_B.png,0.6445,0.4868,0.0432,43.1224,0.3452
image_1112_Mitochondria.ome.tiff,image_1112_Mitochondria.ome_fake_B.png,0.5910,0.3678,0.0588,56.9152,0.4017
image_2362_Mitochondria.ome.tiff,image_2362_Mitochondria.ome_fake_B.png,0.6267,0.2126,0.0537,209.6717,0.6397
image_1635_Mitochondria.ome.tiff,image_1635_Mitochondria.ome_fake_B.png,0.6326,0.2445,0.0545,49.4402,0.4035
image_180_Mitochondria.ome.tiff,image_180_Mitochondria.ome_fake_B.png,0.5552,0.4522,0.0672,225.6435,0.3030
image_2453_Mitochondria.ome.tiff,image_2453_Mitochondria.ome_fake_B.png,0.5526,0.2059,0.0813,273.6036,0.5207
image_133_Mitochondria.ome.tiff,image_133_Mitochondria.ome_fake_B.png,0.6937,0.4147,0.0469,197.9371,0.4265
image_281_Mitochondria.ome.tiff,image_281_Mitochondria.ome_fake_B.png,0.7593,0.4582,0.0316,73.6917,0.3214
image_698_Mitochondria.ome.tiff,image_698_Mitochondria.ome_fake_B.png,0.5824,0.3567,0.0581,51.8495,0.3727
image_144_Mitochondria.ome.tiff,image_144_Mitochondria.ome_fake_B.png,0.7041,0.5752,0.0399,163.4338,0.2970
image_1538_Mitochondria.ome.tiff,image_1538_Mitochondria.ome_fake_B.png,0.6641,0.3315,0.0609,59.1267,0.4012
image_461_Mitochondria.ome.tiff,image_461_Mitochondria.ome_fake_B.png,0.7685,0.2620,0.0339,41.3813,0.5157
image_385_Mitochondria.ome.tiff,image_385_Mitochondria.ome_fake_B.png,0.5584,0.5664,0.0509,100.8376,0.3260
image_880_Mitochondria.ome.tiff,image_880_Mitochondria.ome_fake_B.png,0.6395,0.3394,0.0507,50.6206,0.4250
image_1259_Mitochondria.ome.tiff,image_1259_Mitochondria.ome_fake_B.png,0.5641,0.2226,0.0583,51.5663,0.4642
image_2297_Mitochondria.ome.tiff,image_2297_Mitochondria.ome_fake_B.png,0.6434,0.6908,0.0192,98.8897,0.2789
image_468_Mitochondria.ome.tiff,image_468_Mitochondria.ome_fake_B.png,0.5953,0.0788,0.0631,54.8662,0.4381
image_839_Mitochondria.ome.tiff,image_839_Mitochondria.ome_fake_B.png,0.6055,0.2267,0.0542,50.4884,0.4645
