ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_305_Mitochondria.ome.tiff,image_305_Mitochondria.ome_fake_B.png,0.4959,-0.1600,0.1010,160.6207,0.3759
image_2440_Mitochondria.ome.tiff,image_2440_Mitochondria.ome_fake_B.png,0.5242,0.3534,0.0734,235.6372,0.4772
image_978_Mitochondria.ome.tiff,image_978_Mitochondria.ome_fake_B.png,0.7277,0.2284,0.0433,45.5542,0.4003
image_2355_Mitochondria.ome.tiff,image_2355_Mitochondria.ome_fake_B.png,0.6442,0.2305,0.0530,208.4788,0.5977
image_152_Mitochondria.ome.tiff,image_152_Mitochondria.ome_fake_B.png,0.7377,0.7702,0.0330,147.5078,0.1888
image_447_Mitochondria.ome.tiff,image_447_Mitochondria.ome_fake_B.png,0.6788,0.0887,0.0435,51.0289,0.7026
image_639_Mitochondria.ome.tiff,image_639_Mitochondria.ome_fake_B.png,0.6250,0.5073,0.0621,57.5607,0.2950
image_809_Mitochondria.ome.tiff,image_809_Mitochondria.ome_fake_B.png,0.5717,0.2303,0.0653,53.4186,0.3442
image_1480_Mitochondria.ome.tiff,image_1480_Mitochondria.ome_fake_B.png,0.5954,0.3541,0.0691,65.2385,0.4288
image_678_Mitochondria.ome.tiff,image_678_Mitochondria.ome_fake_B.png,0.5881,0.2819,0.0579,53.9610,0.4444
image_2384_Mitochondria.ome.tiff,image_2384_Mitochondria.ome_fake_B.png,0.7493,0.3748,0.0431,190.2208,0.4605
image_569_Mitochondria.ome.tiff,image_569_Mitochondria.ome_fake_B.png,0.6867,0.2299,0.0484,47.7946,0.4109
image_763_Mitochondria.ome.tiff,image_763_Mitochondria.ome_fake_B.png,0.5510,0.3485,0.0610,53.5975,0.3713
image_312_Mitochondria.ome.tiff,image_312_Mitochondria.ome_fake_B.png,0.4513,0.0786,0.1094,178.3182,0.2592
image_1693_Mitochondria.ome.tiff,image_1693_Mitochondria.ome_fake_B.png,0.6165,0.0877,0.0571,52.7237,0.4913
