ImageA,ImageB,SSIM,PCC,MAE,ECD
image_2547_Tubulin.ome.tiff,image_2547_Tubulin.ome_fake_B.png,0.6725,0.2319,0.0801,230.7429
image_115_Tubulin.ome.tiff,image_115_Tubulin.ome_fake_B.png,0.4115,0.4458,0.1907,345.1873
image_61_Tubulin.ome.tiff,image_61_Tubulin.ome_fake_B.png,0.0823,0.1441,0.1842,270.6163
image_85_Tubulin.ome.tiff,image_85_Tubulin.ome_fake_B.png,0.1513,0.0638,0.1729,261.6193
image_69_Tubulin.ome.tiff,image_69_Tubulin.ome_fake_B.png,0.0981,0.0625,0.1850,270.5457
image_76_Tubulin.ome.tiff,image_76_Tubulin.ome_fake_B.png,0.0803,0.2184,0.1813,266.6433
image_2562_Tubulin.ome.tiff,image_2562_Tubulin.ome_fake_B.png,0.6241,0.1627,0.1059,250.2640
image_219_Tubulin.ome.tiff,image_219_Tubulin.ome_fake_B.png,0.6666,0.7462,0.0779,205.8450
image_64_Tubulin.ome.tiff,image_64_Tubulin.ome_fake_B.png,0.1543,0.3586,0.1618,236.0672
image_405_Tubulin.ome.tiff,image_405_Tubulin.ome_fake_B.png,0.5269,0.3322,0.0875,144.1494
image_88_Tubulin.ome.tiff,image_88_Tubulin.ome_fake_B.png,0.1068,0.2261,0.1741,249.2908
image_84_Tubulin.ome.tiff,image_84_Tubulin.ome_fake_B.png,0.0972,0.1038,0.1911,276.2063
image_410_Tubulin.ome.tiff,image_410_Tubulin.ome_fake_B.png,0.5232,0.0418,0.0998,166.7661
image_2507_Tubulin.ome.tiff,image_2507_Tubulin.ome_fake_B.png,0.6812,0.3219,0.0857,259.3475
image_2554_Tubulin.ome.tiff,image_2554_Tubulin.ome_fake_B.png,0.6563,0.2124,0.0712,239.6187
image_2512_Tubulin.ome.tiff,image_2512_Tubulin.ome_fake_B.png,0.4764,0.4875,0.1761,395.2267
image_2564_Tubulin.ome.tiff,image_2564_Tubulin.ome_fake_B.png,0.5125,0.3250,0.1476,376.7161
image_305_Tubulin.ome.tiff,image_305_Tubulin.ome_fake_B.png,0.4564,0.0638,0.1519,231.7892
image_2573_Tubulin.ome.tiff,image_2573_Tubulin.ome_fake_B.png,0.5616,0.2993,0.1038,260.6398
image_335_Tubulin.ome.tiff,image_335_Tubulin.ome_fake_B.png,0.4699,0.1971,0.1626,216.3392
image_2550_Tubulin.ome.tiff,image_2550_Tubulin.ome_fake_B.png,0.5859,0.1485,0.1224,285.2557
image_401_Tubulin.ome.tiff,image_401_Tubulin.ome_fake_B.png,0.4231,0.0732,0.1428,220.8129
image_325_Tubulin.ome.tiff,image_325_Tubulin.ome_fake_B.png,0.5487,0.4191,0.0942,164.4117
image_240_Tubulin.ome.tiff,image_240_Tubulin.ome_fake_B.png,0.6920,0.6981,0.0786,211.2241
image_247_Tubulin.ome.tiff,image_247_Tubulin.ome_fake_B.png,0.4994,0.6738,0.1091,273.8008
image_73_Tubulin.ome.tiff,image_73_Tubulin.ome_fake_B.png,0.0685,0.1751,0.1830,268.0783
image_221_Tubulin.ome.tiff,image_221_Tubulin.ome_fake_B.png,0.6905,0.3911,0.0913,242.1712
image_2531_Tubulin.ome.tiff,image_2531_Tubulin.ome_fake_B.png,0.5592,0.3410,0.1363,336.8679
image_2555_Tubulin.ome.tiff,image_2555_Tubulin.ome_fake_B.png,0.6533,0.1565,0.0783,208.5929
image_2552_Tubulin.ome.tiff,image_2552_Tubulin.ome_fake_B.png,0.6732,0.2375,0.0779,210.7193
image_398_Tubulin.ome.tiff,image_398_Tubulin.ome_fake_B.png,0.5999,0.2312,0.0891,138.1147
image_217_Tubulin.ome.tiff,image_217_Tubulin.ome_fake_B.png,0.5882,0.6606,0.1067,272.8741
image_2520_Tubulin.ome.tiff,image_2520_Tubulin.ome_fake_B.png,0.5519,0.3891,0.1329,314.1692
image_328_Tubulin.ome.tiff,image_328_Tubulin.ome_fake_B.png,0.5356,0.4507,0.1078,177.8688
image_403_Tubulin.ome.tiff,image_403_Tubulin.ome_fake_B.png,0.4069,0.2044,0.1373,208.9000
image_321_Tubulin.ome.tiff,image_321_Tubulin.ome_fake_B.png,0.5240,0.4016,0.1245,182.9122
