ImageA,ImageB,SSIM,PCC,MAE,ECD
image_395_Tubulin.ome.tiff,image_395_Tubulin.ome_fake_B.png,0.5499,0.3606,0.0876,149.5873
image_343_Tubulin.ome.tiff,image_343_Tubulin.ome_fake_B.png,0.4588,0.1715,0.1565,205.9160
image_71_Tubulin.ome.tiff,image_71_Tubulin.ome_fake_B.png,0.1608,0.5122,0.1513,205.8074
image_241_Tubulin.ome.tiff,image_241_Tubulin.ome_fake_B.png,0.6299,0.5106,0.1017,272.0909
image_2540_Tubulin.ome.tiff,image_2540_Tubulin.ome_fake_B.png,0.6348,0.3220,0.0834,219.5373
image_342_Tubulin.ome.tiff,image_342_Tubulin.ome_fake_B.png,0.5207,0.4503,0.1163,168.3091
image_334_Tubulin.ome.tiff,image_334_Tubulin.ome_fake_B.png,0.1588,0.0979,0.1980,254.9872
image_79_Tubulin.ome.tiff,image_79_Tubulin.ome_fake_B.png,0.1884,0.5393,0.1464,206.3351
image_301_Tubulin.ome.tiff,image_301_Tubulin.ome_fake_B.png,0.5089,0.0701,0.1036,163.3058
image_220_Tubulin.ome.tiff,image_220_Tubulin.ome_fake_B.png,0.6384,0.6633,0.0706,199.8740
image_91_Tubulin.ome.tiff,image_91_Tubulin.ome_fake_B.png,0.1257,0.4615,0.1508,216.8600
image_2505_Tubulin.ome.tiff,image_2505_Tubulin.ome_fake_B.png,0.6634,0.4285,0.0700,189.7924
image_63_Tubulin.ome.tiff,image_63_Tubulin.ome_fake_B.png,0.1415,0.4192,0.1635,233.9131
image_216_Tubulin.ome.tiff,image_216_Tubulin.ome_fake_B.png,0.5481,0.6610,0.1194,310.0176
image_323_Tubulin.ome.tiff,image_323_Tubulin.ome_fake_B.png,0.5547,0.4757,0.1022,145.5672
image_409_Tubulin.ome.tiff,image_409_Tubulin.ome_fake_B.png,0.4716,0.3246,0.0742,120.0640
image_2546_Tubulin.ome.tiff,image_2546_Tubulin.ome_fake_B.png,0.6531,0.3419,0.0763,211.4955
image_326_Tubulin.ome.tiff,image_326_Tubulin.ome_fake_B.png,0.5380,0.3126,0.0909,145.0972
image_2529_Tubulin.ome.tiff,image_2529_Tubulin.ome_fake_B.png,0.7296,0.1621,0.0576,192.4017
image_233_Tubulin.ome.tiff,image_233_Tubulin.ome_fake_B.png,0.5318,0.5964,0.1265,334.9718
image_72_Tubulin.ome.tiff,image_72_Tubulin.ome_fake_B.png,0.2066,0.6236,0.1275,183.8181
image_2551_Tubulin.ome.tiff,image_2551_Tubulin.ome_fake_B.png,0.5876,0.3727,0.0976,239.3091
image_313_Tubulin.ome.tiff,image_313_Tubulin.ome_fake_B.png,0.4899,0.2113,0.1336,209.0211
image_333_Tubulin.ome.tiff,image_333_Tubulin.ome_fake_B.png,0.5695,0.3215,0.0948,147.6291
image_336_Tubulin.ome.tiff,image_336_Tubulin.ome_fake_B.png,0.5513,-0.0653,0.0986,147.5932
image_412_Tubulin.ome.tiff,image_412_Tubulin.ome_fake_B.png,0.4898,0.1144,0.1153,189.3693
image_2539_Tubulin.ome.tiff,image_2539_Tubulin.ome_fake_B.png,0.6521,0.1606,0.0719,212.7510
image_2537_Tubulin.ome.tiff,image_2537_Tubulin.ome_fake_B.png,0.5614,0.4261,0.1105,291.8094
image_2508_Tubulin.ome.tiff,image_2508_Tubulin.ome_fake_B.png,0.5619,0.2772,0.1102,270.0492
image_244_Tubulin.ome.tiff,image_244_Tubulin.ome_fake_B.png,0.5904,0.7060,0.1168,302.7158
image_338_Tubulin.ome.tiff,image_338_Tubulin.ome_fake_B.png,0.2455,0.1293,0.1643,225.0124
image_304_Tubulin.ome.tiff,image_304_Tubulin.ome_fake_B.png,0.4693,0.2354,0.1485,224.6052
image_308_Tubulin.ome.tiff,image_308_Tubulin.ome_fake_B.png,0.5847,0.4435,0.0889,143.1556
image_239_Tubulin.ome.tiff,image_239_Tubulin.ome_fake_B.png,0.4669,0.4963,0.1334,353.8014
image_408_Tubulin.ome.tiff,image_408_Tubulin.ome_fake_B.png,0.2524,0.3579,0.1588,223.1154
image_314_Tubulin.ome.tiff,image_314_Tubulin.ome_fake_B.png,0.5076,0.2097,0.1226,189.7796
