ImageA,ImageB,SSIM,PCC,MAE,ECD
image_392_Tubulin.ome.tiff,image_392_Tubulin.ome_fake_B.png,0.4071,0.2984,0.1330,190.9109
image_120_Tubulin.ome.tiff,image_120_Tubulin.ome_fake_B.png,0.4901,0.2608,0.1522,271.6549
image_224_Tubulin.ome.tiff,image_224_Tubulin.ome_fake_B.png,0.5847,0.5631,0.1155,312.5349
image_218_Tubulin.ome.tiff,image_218_Tubulin.ome_fake_B.png,0.4744,0.4683,0.1780,456.9621
image_390_Tubulin.ome.tiff,image_390_Tubulin.ome_fake_B.png,0.5999,0.3791,0.0843,131.5838
image_2527_Tubulin.ome.tiff,image_2527_Tubulin.ome_fake_B.png,0.4670,0.1319,0.1277,309.3114
image_2519_Tubulin.ome.tiff,image_2519_Tubulin.ome_fake_B.png,0.7234,0.4575,0.0716,208.1707
image_227_Tubulin.ome.tiff,image_227_Tubulin.ome_fake_B.png,0.5324,0.5354,0.1144,294.3081
image_80_Tubulin.ome.tiff,image_80_Tubulin.ome_fake_B.png,0.2882,0.1834,0.1475,236.9772
image_121_Tubulin.ome.tiff,image_121_Tubulin.ome_fake_B.png,0.4567,0.4321,0.1687,291.7813
image_330_Tubulin.ome.tiff,image_330_Tubulin.ome_fake_B.png,0.4995,0.5185,0.1096,154.1164
image_2533_Tubulin.ome.tiff,image_2533_Tubulin.ome_fake_B.png,0.5355,0.0595,0.1388,331.7844
image_2566_Tubulin.ome.tiff,image_2566_Tubulin.ome_fake_B.png,0.6812,0.4754,0.1029,302.2321
image_394_Tubulin.ome.tiff,image_394_Tubulin.ome_fake_B.png,0.5844,0.2222,0.0787,125.5341
image_2516_Tubulin.ome.tiff,image_2516_Tubulin.ome_fake_B.png,0.5004,0.3673,0.1146,303.7345
image_2570_Tubulin.ome.tiff,image_2570_Tubulin.ome_fake_B.png,0.5120,0.3159,0.1636,401.9949
image_90_Tubulin.ome.tiff,image_90_Tubulin.ome_fake_B.png,0.2033,0.4011,0.1288,194.3847
image_246_Tubulin.ome.tiff,image_246_Tubulin.ome_fake_B.png,0.5525,0.3610,0.1428,365.9410
image_77_Tubulin.ome.tiff,image_77_Tubulin.ome_fake_B.png,0.2611,0.2260,0.1389,219.1904
image_399_Tubulin.ome.tiff,image_399_Tubulin.ome_fake_B.png,0.4880,0.3262,0.1179,179.0118
image_339_Tubulin.ome.tiff,image_339_Tubulin.ome_fake_B.png,0.5506,0.4887,0.1000,151.9045
image_248_Tubulin.ome.tiff,image_248_Tubulin.ome_fake_B.png,0.6384,0.4490,0.0873,231.0914
image_317_Tubulin.ome.tiff,image_317_Tubulin.ome_fake_B.png,0.5553,0.4271,0.0908,139.5545
image_226_Tubulin.ome.tiff,image_226_Tubulin.ome_fake_B.png,0.7011,0.7186,0.0676,194.9618
image_307_Tubulin.ome.tiff,image_307_Tubulin.ome_fake_B.png,0.4233,-0.1305,0.1238,183.2859
image_303_Tubulin.ome.tiff,image_303_Tubulin.ome_fake_B.png,0.5572,0.2971,0.1019,153.6800
image_316_Tubulin.ome.tiff,image_316_Tubulin.ome_fake_B.png,0.4225,0.0208,0.1662,246.4982
image_2571_Tubulin.ome.tiff,image_2571_Tubulin.ome_fake_B.png,0.6939,0.5199,0.1051,291.6376
image_250_Tubulin.ome.tiff,image_250_Tubulin.ome_fake_B.png,0.5842,0.4594,0.1146,297.1536
image_404_Tubulin.ome.tiff,image_404_Tubulin.ome_fake_B.png,0.4144,0.3318,0.1462,217.8067
image_242_Tubulin.ome.tiff,image_242_Tubulin.ome_fake_B.png,0.6357,0.4482,0.1033,275.1200
image_2506_Tubulin.ome.tiff,image_2506_Tubulin.ome_fake_B.png,0.6234,0.3909,0.0967,247.9892
image_234_Tubulin.ome.tiff,image_234_Tubulin.ome_fake_B.png,0.4368,0.6573,0.1250,310.2273
image_2561_Tubulin.ome.tiff,image_2561_Tubulin.ome_fake_B.png,0.7006,0.3365,0.0773,229.7028
image_309_Tubulin.ome.tiff,image_309_Tubulin.ome_fake_B.png,0.3820,0.1040,0.2038,309.0768
