ImageA,ImageB,SSIM,PCC,MAE,ECD
image_918_Mitochondria.ome.tiff,image_918_Mitochondria.ome_fake_B.png,0.4708,0.0727,0.0754,61.9360
image_470_Mitochondria.ome.tiff,image_470_Mitochondria.ome_fake_B.png,0.7219,0.6397,0.0393,45.1530
image_124_Mitochondria.ome.tiff,image_124_Mitochondria.ome_fake_B.png,0.7115,0.4133,0.0399,168.6384
image_2313_Mitochondria.ome.tiff,image_2313_Mitochondria.ome_fake_B.png,0.7600,0.4327,0.0304,152.6222
image_1463_Mitochondria.ome.tiff,image_1463_Mitochondria.ome_fake_B.png,0.6241,0.3399,0.0489,45.6144
image_1316_Mitochondria.ome.tiff,image_1316_Mitochondria.ome_fake_B.png,0.6989,0.3031,0.0440,46.5522
image_649_Mitochondria.ome.tiff,image_649_Mitochondria.ome_fake_B.png,0.7436,0.4773,0.0345,36.9539
image_760_Mitochondria.ome.tiff,image_760_Mitochondria.ome_fake_B.png,0.4722,0.3026,0.0499,36.7619
image_748_Mitochondria.ome.tiff,image_748_Mitochondria.ome_fake_B.png,0.5295,0.2348,0.0704,63.6393
image_722_Mitochondria.ome.tiff,image_722_Mitochondria.ome_fake_B.png,0.6082,0.4320,0.0550,46.8690
image_997_Mitochondria.ome.tiff,image_997_Mitochondria.ome_fake_B.png,0.8157,0.3470,0.0319,39.5231
image_1194_Mitochondria.ome.tiff,image_1194_Mitochondria.ome_fake_B.png,0.6440,0.2694,0.0512,51.8974
image_1147_Mitochondria.ome.tiff,image_1147_Mitochondria.ome_fake_B.png,0.7778,0.3584,0.0327,34.1465
image_885_Mitochondria.ome.tiff,image_885_Mitochondria.ome_fake_B.png,0.6534,0.2993,0.0458,46.6737
image_514_Mitochondria.ome.tiff,image_514_Mitochondria.ome_fake_B.png,0.4757,0.5011,0.0602,51.7317
image_452_Mitochondria.ome.tiff,image_452_Mitochondria.ome_fake_B.png,0.5722,0.4634,0.0477,45.9841
image_1254_Mitochondria.ome.tiff,image_1254_Mitochondria.ome_fake_B.png,0.7105,0.3183,0.0452,46.1968
image_1038_Mitochondria.ome.tiff,image_1038_Mitochondria.ome_fake_B.png,0.7370,0.1679,0.0403,42.7578
image_2422_Mitochondria.ome.tiff,image_2422_Mitochondria.ome_fake_B.png,0.7759,0.6927,0.0285,139.2012
image_1067_Mitochondria.ome.tiff,image_1067_Mitochondria.ome_fake_B.png,0.4870,0.1514,0.0632,53.7862
image_1681_Mitochondria.ome.tiff,image_1681_Mitochondria.ome_fake_B.png,0.6372,0.2402,0.0424,45.6194
image_1673_Mitochondria.ome.tiff,image_1673_Mitochondria.ome_fake_B.png,0.1235,0.1843,0.1461,88.2389
image_581_Mitochondria.ome.tiff,image_581_Mitochondria.ome_fake_B.png,0.6223,0.3835,0.0474,47.4940
image_1591_Mitochondria.ome.tiff,image_1591_Mitochondria.ome_fake_B.png,0.0990,0.1762,0.4217,221.4622
image_838_Mitochondria.ome.tiff,image_838_Mitochondria.ome_fake_B.png,0.6704,0.1719,0.0523,52.5526
image_170_Mitochondria.ome.tiff,image_170_Mitochondria.ome_fake_B.png,0.6850,0.4838,0.0456,183.2123
image_1602_Mitochondria.ome.tiff,image_1602_Mitochondria.ome_fake_B.png,0.6137,0.3026,0.0576,49.4680
image_1063_Mitochondria.ome.tiff,image_1063_Mitochondria.ome_fake_B.png,0.6115,0.3774,0.0561,50.5074
image_953_Mitochondria.ome.tiff,image_953_Mitochondria.ome_fake_B.png,0.6023,0.3514,0.0481,44.6500
image_1075_Mitochondria.ome.tiff,image_1075_Mitochondria.ome_fake_B.png,0.6406,0.3207,0.0668,59.5492
image_543_Mitochondria.ome.tiff,image_543_Mitochondria.ome_fake_B.png,0.7513,0.3091,0.0399,44.7467
image_792_Mitochondria.ome.tiff,image_792_Mitochondria.ome_fake_B.png,0.5872,0.3784,0.0566,51.2852
image_736_Mitochondria.ome.tiff,image_736_Mitochondria.ome_fake_B.png,0.6139,0.2027,0.0557,52.4987
image_30_Mitochondria.ome.tiff,image_30_Mitochondria.ome_fake_B.png,0.7292,0.2594,0.0333,143.7459
image_586_Mitochondria.ome.tiff,image_586_Mitochondria.ome_fake_B.png,0.6851,0.4352,0.0388,39.3167
image_300_Mitochondria.ome.tiff,image_300_Mitochondria.ome_fake_B.png,0.4358,0.1686,0.1008,154.2079
image_1512_Mitochondria.ome.tiff,image_1512_Mitochondria.ome_fake_B.png,0.6197,0.3825,0.0598,54.7641
image_1306_Mitochondria.ome.tiff,image_1306_Mitochondria.ome_fake_B.png,0.4244,0.2361,0.1072,77.2816
image_272_Mitochondria.ome.tiff,image_272_Mitochondria.ome_fake_B.png,0.4643,0.1245,0.1025,168.8204
image_1337_Mitochondria.ome.tiff,image_1337_Mitochondria.ome_fake_B.png,0.6615,0.3875,0.0498,48.1932
image_1362_Mitochondria.ome.tiff,image_1362_Mitochondria.ome_fake_B.png,0.6786,0.2713,0.0502,48.1532
image_348_Mitochondria.ome.tiff,image_348_Mitochondria.ome_fake_B.png,0.4296,0.2275,0.0915,146.8040
image_1037_Mitochondria.ome.tiff,image_1037_Mitochondria.ome_fake_B.png,0.6279,0.2959,0.0384,35.9565
image_1549_Mitochondria.ome.tiff,image_1549_Mitochondria.ome_fake_B.png,0.6761,0.1834,0.0456,47.8393
image_646_Mitochondria.ome.tiff,image_646_Mitochondria.ome_fake_B.png,0.6648,0.4692,0.0398,41.0450
image_1251_Mitochondria.ome.tiff,image_1251_Mitochondria.ome_fake_B.png,0.6483,0.3718,0.0501,45.7900
image_751_Mitochondria.ome.tiff,image_751_Mitochondria.ome_fake_B.png,0.6506,0.2534,0.0439,43.8331
image_601_Mitochondria.ome.tiff,image_601_Mitochondria.ome_fake_B.png,0.3645,0.1960,0.1127,74.3735
image_2369_Mitochondria.ome.tiff,image_2369_Mitochondria.ome_fake_B.png,0.8395,0.6207,0.0257,142.6575
image_1541_Mitochondria.ome.tiff,image_1541_Mitochondria.ome_fake_B.png,0.6713,0.3099,0.0462,45.3025
image_2382_Mitochondria.ome.tiff,image_2382_Mitochondria.ome_fake_B.png,0.7405,0.4399,0.0319,154.5479
image_594_Mitochondria.ome.tiff,image_594_Mitochondria.ome_fake_B.png,0.5734,0.3119,0.0560,49.7206
image_805_Mitochondria.ome.tiff,image_805_Mitochondria.ome_fake_B.png,0.6959,0.2941,0.0455,46.3023
