ImageA,ImageB,SSIM,PCC,MAE,ECD
image_402_Tubulin.ome.tiff,image_402_Tubulin.ome_fake_B.png,0.3333,0.0982,0.1515,220.9121
image_70_Tubulin.ome.tiff,image_70_Tubulin.ome_fake_B.png,0.1487,0.2470,0.1584,243.6630
image_411_Tubulin.ome.tiff,image_411_Tubulin.ome_fake_B.png,0.5253,0.2804,0.1090,175.1747
image_2548_Tubulin.ome.tiff,image_2548_Tubulin.ome_fake_B.png,0.6164,0.1501,0.0972,261.6277
image_2563_Tubulin.ome.tiff,image_2563_Tubulin.ome_fake_B.png,0.6639,0.1458,0.0921,274.5305
image_2521_Tubulin.ome.tiff,image_2521_Tubulin.ome_fake_B.png,0.5972,0.4679,0.1100,314.5391
image_2560_Tubulin.ome.tiff,image_2560_Tubulin.ome_fake_B.png,0.6592,0.3358,0.0761,215.9907
image_236_Tubulin.ome.tiff,image_236_Tubulin.ome_fake_B.png,0.6087,0.8301,0.0784,198.7263
image_237_Tubulin.ome.tiff,image_237_Tubulin.ome_fake_B.png,0.5126,0.5719,0.1246,339.4289
image_302_Tubulin.ome.tiff,image_302_Tubulin.ome_fake_B.png,0.3967,0.2108,0.1649,253.0449
image_320_Tubulin.ome.tiff,image_320_Tubulin.ome_fake_B.png,0.4494,0.0354,0.1380,214.9725
image_66_Tubulin.ome.tiff,image_66_Tubulin.ome_fake_B.png,0.1357,0.0701,0.1670,262.8506
image_407_Tubulin.ome.tiff,image_407_Tubulin.ome_fake_B.png,0.4500,0.1549,0.1483,225.9344
image_2572_Tubulin.ome.tiff,image_2572_Tubulin.ome_fake_B.png,0.6903,0.3665,0.0631,197.7875
image_2525_Tubulin.ome.tiff,image_2525_Tubulin.ome_fake_B.png,0.6352,0.5758,0.1185,327.5154
image_393_Tubulin.ome.tiff,image_393_Tubulin.ome_fake_B.png,0.3443,0.1923,0.1802,263.9864
image_2513_Tubulin.ome.tiff,image_2513_Tubulin.ome_fake_B.png,0.7031,0.3510,0.0751,224.1284
image_229_Tubulin.ome.tiff,image_229_Tubulin.ome_fake_B.png,0.6138,0.6715,0.0892,244.7434
image_243_Tubulin.ome.tiff,image_243_Tubulin.ome_fake_B.png,0.5743,0.4534,0.1174,296.7854
image_83_Tubulin.ome.tiff,image_83_Tubulin.ome_fake_B.png,0.1802,0.2908,0.1530,241.0336
image_311_Tubulin.ome.tiff,image_311_Tubulin.ome_fake_B.png,0.5065,0.5940,0.1119,168.2877
image_406_Tubulin.ome.tiff,image_406_Tubulin.ome_fake_B.png,0.4328,0.3947,0.1039,163.9615
image_2557_Tubulin.ome.tiff,image_2557_Tubulin.ome_fake_B.png,0.6079,0.4156,0.1149,292.5998
image_81_Tubulin.ome.tiff,image_81_Tubulin.ome_fake_B.png,0.1486,0.0438,0.1710,261.5737
image_391_Tubulin.ome.tiff,image_391_Tubulin.ome_fake_B.png,0.5490,0.3176,0.1207,189.0476
image_2503_Tubulin.ome.tiff,image_2503_Tubulin.ome_fake_B.png,0.5584,0.4186,0.1153,288.3207
image_306_Tubulin.ome.tiff,image_306_Tubulin.ome_fake_B.png,0.4482,-0.1750,0.1514,232.3715
image_300_Tubulin.ome.tiff,image_300_Tubulin.ome_fake_B.png,0.4712,0.0771,0.1525,233.2775
image_327_Tubulin.ome.tiff,image_327_Tubulin.ome_fake_B.png,0.5115,0.4052,0.1340,223.3260
image_318_Tubulin.ome.tiff,image_318_Tubulin.ome_fake_B.png,0.4667,0.2563,0.1388,218.0326
image_223_Tubulin.ome.tiff,image_223_Tubulin.ome_fake_B.png,0.5488,0.6203,0.1526,372.5755
image_329_Tubulin.ome.tiff,image_329_Tubulin.ome_fake_B.png,0.5317,0.4954,0.1152,171.4642
image_2523_Tubulin.ome.tiff,image_2523_Tubulin.ome_fake_B.png,0.6508,0.4887,0.0885,248.3554
image_68_Tubulin.ome.tiff,image_68_Tubulin.ome_fake_B.png,0.1393,0.0245,0.1661,255.9547
image_2558_Tubulin.ome.tiff,image_2558_Tubulin.ome_fake_B.png,0.6837,0.3706,0.0824,227.3077
