ImageA,ImageB,SSIM,PCC,MAE,ECD
image_2484_Nucleus.ome.tiff,image_2484_Nucleus.ome_fake_B.png,0.8362,0.7994,0.0313,156.8041
image_1421_Nucleus.ome.tiff,image_1421_Nucleus.ome_fake_B.png,0.7603,0.4436,0.0688,63.5522
image_64_Nucleus.ome.tiff,image_64_Nucleus.ome_fake_B.png,0.7648,0.6254,0.0463,108.9555
image_375_Nucleus.ome.tiff,image_375_Nucleus.ome_fake_B.png,0.6112,0.4549,0.0505,145.7787
image_399_Nucleus.ome.tiff,image_399_Nucleus.ome_fake_B.png,0.5597,0.0804,0.1083,199.1346
image_2488_Nucleus.ome.tiff,image_2488_Nucleus.ome_fake_B.png,0.1628,0.7331,0.0774,201.5289
image_163_Nucleus.ome.tiff,image_163_Nucleus.ome_fake_B.png,0.6640,0.8597,0.0458,192.8428
image_259_Nucleus.ome.tiff,image_259_Nucleus.ome_fake_B.png,0.6584,0.5558,0.0706,151.7735
image_2031_Nucleus.ome.tiff,image_2031_Nucleus.ome_fake_B.png,0.6243,0.2867,0.0769,129.2233
image_957_Nucleus.ome.tiff,image_957_Nucleus.ome_fake_B.png,0.6724,0.3783,0.0543,56.6537
image_694_Nucleus.ome.tiff,image_694_Nucleus.ome_fake_B.png,0.7824,-0.0110,0.0708,73.3629
image_1262_Nucleus.ome.tiff,image_1262_Nucleus.ome_fake_B.png,0.7874,0.6130,0.0365,45.6494
image_1075_Nucleus.ome.tiff,image_1075_Nucleus.ome_fake_B.png,0.6503,0.3283,0.0900,71.5572
image_1932_Nucleus.ome.tiff,image_1932_Nucleus.ome_fake_B.png,0.6310,0.4669,0.0672,116.1770
image_1314_Nucleus.ome.tiff,image_1314_Nucleus.ome_fake_B.png,0.7057,0.1662,0.0584,65.5599
image_1331_Nucleus.ome.tiff,image_1331_Nucleus.ome_fake_B.png,0.6703,0.1293,0.0904,76.3785
image_52_Nucleus.ome.tiff,image_52_Nucleus.ome_fake_B.png,0.3444,0.4207,0.0594,126.3317
image_1189_Nucleus.ome.tiff,image_1189_Nucleus.ome_fake_B.png,0.6639,0.4623,0.0470,50.1768
image_2177_Nucleus.ome.tiff,image_2177_Nucleus.ome_fake_B.png,0.7289,0.5323,0.0536,100.8356
image_2008_Nucleus.ome.tiff,image_2008_Nucleus.ome_fake_B.png,0.5831,0.2668,0.0830,138.2733
image_2526_Nucleus.ome.tiff,image_2526_Nucleus.ome_fake_B.png,0.7884,0.5409,0.0390,215.1446
image_2469_Nucleus.ome.tiff,image_2469_Nucleus.ome_fake_B.png,0.7836,0.7325,0.0466,218.8237
image_1548_Nucleus.ome.tiff,image_1548_Nucleus.ome_fake_B.png,0.4787,-0.1551,0.2286,161.7233
image_435_Nucleus.ome.tiff,image_435_Nucleus.ome_fake_B.png,0.7547,0.5090,0.0594,58.8713
image_351_Nucleus.ome.tiff,image_351_Nucleus.ome_fake_B.png,0.4443,0.2209,0.1460,232.7181
image_250_Nucleus.ome.tiff,image_250_Nucleus.ome_fake_B.png,0.5472,0.2559,0.1006,310.5914
image_1817_Nucleus.ome.tiff,image_1817_Nucleus.ome_fake_B.png,0.7006,0.5320,0.0539,102.2611
image_72_Nucleus.ome.tiff,image_72_Nucleus.ome_fake_B.png,0.7592,0.5983,0.0444,96.7577
image_2058_Nucleus.ome.tiff,image_2058_Nucleus.ome_fake_B.png,0.4891,0.2022,0.1090,157.9409
image_420_Nucleus.ome.tiff,image_420_Nucleus.ome_fake_B.png,0.7791,0.5086,0.0395,49.1299
image_175_Nucleus.ome.tiff,image_175_Nucleus.ome_fake_B.png,0.5630,0.5735,0.0656,253.9332
image_1161_Nucleus.ome.tiff,image_1161_Nucleus.ome_fake_B.png,0.6924,0.5345,0.0723,56.1366
image_233_Nucleus.ome.tiff,image_233_Nucleus.ome_fake_B.png,0.5871,0.5291,0.0837,293.3804
image_398_Nucleus.ome.tiff,image_398_Nucleus.ome_fake_B.png,0.3642,0.0851,0.2068,314.4847
image_1933_Nucleus.ome.tiff,image_1933_Nucleus.ome_fake_B.png,0.7227,0.6351,0.0526,99.4172
image_2112_Nucleus.ome.tiff,image_2112_Nucleus.ome_fake_B.png,0.5566,0.4002,0.0908,139.9616
image_1191_Nucleus.ome.tiff,image_1191_Nucleus.ome_fake_B.png,0.7735,0.5708,0.0561,56.2565
image_1133_Nucleus.ome.tiff,image_1133_Nucleus.ome_fake_B.png,0.7907,0.4993,0.0615,63.9800
image_2307_Nucleus.ome.tiff,image_2307_Nucleus.ome_fake_B.png,0.8523,0.6976,0.0256,172.2756
image_1515_Nucleus.ome.tiff,image_1515_Nucleus.ome_fake_B.png,0.6902,0.1132,0.0829,63.7320
image_296_Nucleus.ome.tiff,image_296_Nucleus.ome_fake_B.png,0.7711,0.5708,0.0342,116.9648
image_162_Nucleus.ome.tiff,image_162_Nucleus.ome_fake_B.png,0.7187,0.8358,0.0330,157.1830
image_875_Nucleus.ome.tiff,image_875_Nucleus.ome_fake_B.png,0.7814,0.5431,0.0540,54.6425
image_780_Nucleus.ome.tiff,image_780_Nucleus.ome_fake_B.png,0.0446,0.0858,0.2583,141.2172
image_2463_Nucleus.ome.tiff,image_2463_Nucleus.ome_fake_B.png,0.8770,0.8231,0.0191,123.7916
image_649_Nucleus.ome.tiff,image_649_Nucleus.ome_fake_B.png,0.8751,0.5746,0.0349,46.8736
image_168_Nucleus.ome.tiff,image_168_Nucleus.ome_fake_B.png,0.7576,0.7433,0.0429,198.6472
image_711_Nucleus.ome.tiff,image_711_Nucleus.ome_fake_B.png,0.0904,-0.0010,0.1745,98.0611
image_291_Nucleus.ome.tiff,image_291_Nucleus.ome_fake_B.png,0.8133,0.4595,0.0357,127.6810
image_1248_Nucleus.ome.tiff,image_1248_Nucleus.ome_fake_B.png,0.8090,0.4527,0.0450,46.2930
image_419_Nucleus.ome.tiff,image_419_Nucleus.ome_fake_B.png,0.6604,0.3153,0.0710,66.8067
image_2142_Nucleus.ome.tiff,image_2142_Nucleus.ome_fake_B.png,0.6469,0.4592,0.0689,120.7765
image_1734_Nucleus.ome.tiff,image_1734_Nucleus.ome_fake_B.png,0.6680,0.4131,0.0797,131.7657
image_257_Nucleus.ome.tiff,image_257_Nucleus.ome_fake_B.png,0.5777,0.5326,0.0913,164.7756
image_1625_Nucleus.ome.tiff,image_1625_Nucleus.ome_fake_B.png,0.7205,0.6091,0.0444,47.4883
image_1405_Nucleus.ome.tiff,image_1405_Nucleus.ome_fake_B.png,0.6627,0.1825,0.0723,76.0894
image_1733_Nucleus.ome.tiff,image_1733_Nucleus.ome_fake_B.png,0.5697,0.5657,0.0733,120.2407
image_535_Nucleus.ome.tiff,image_535_Nucleus.ome_fake_B.png,0.6780,0.4181,0.0794,63.6330
image_1654_Nucleus.ome.tiff,image_1654_Nucleus.ome_fake_B.png,0.7905,0.7885,0.0314,35.5563
image_557_Nucleus.ome.tiff,image_557_Nucleus.ome_fake_B.png,0.6890,0.3426,0.0463,55.4484
image_568_Nucleus.ome.tiff,image_568_Nucleus.ome_fake_B.png,0.6271,0.2405,0.0794,76.3974
image_2065_Nucleus.ome.tiff,image_2065_Nucleus.ome_fake_B.png,0.6046,0.6759,0.0805,104.2948
image_1396_Nucleus.ome.tiff,image_1396_Nucleus.ome_fake_B.png,0.7635,0.3848,0.0655,64.8508
image_1883_Nucleus.ome.tiff,image_1883_Nucleus.ome_fake_B.png,0.6669,0.6435,0.0504,90.3820
image_960_Nucleus.ome.tiff,image_960_Nucleus.ome_fake_B.png,0.6960,0.3960,0.0884,65.7575
image_963_Nucleus.ome.tiff,image_963_Nucleus.ome_fake_B.png,0.7348,0.2498,0.0744,59.8990
image_1095_Nucleus.ome.tiff,image_1095_Nucleus.ome_fake_B.png,0.7075,0.2347,0.0789,69.2987
image_2311_Nucleus.ome.tiff,image_2311_Nucleus.ome_fake_B.png,0.8147,0.2411,0.0442,253.4554
image_2224_Nucleus.ome.tiff,image_2224_Nucleus.ome_fake_B.png,0.5949,0.3558,0.0809,133.4207
image_724_Nucleus.ome.tiff,image_724_Nucleus.ome_fake_B.png,0.5418,0.1988,0.0839,66.4265
image_2075_Nucleus.ome.tiff,image_2075_Nucleus.ome_fake_B.png,0.6691,0.2826,0.0764,133.0621
image_2016_Nucleus.ome.tiff,image_2016_Nucleus.ome_fake_B.png,0.6076,0.3510,0.0783,131.4653
image_564_Nucleus.ome.tiff,image_564_Nucleus.ome_fake_B.png,0.8159,0.5611,0.0471,49.4592
image_1008_Nucleus.ome.tiff,image_1008_Nucleus.ome_fake_B.png,0.6220,0.3337,0.0794,74.5735
image_589_Nucleus.ome.tiff,image_589_Nucleus.ome_fake_B.png,0.7441,0.5269,0.0674,53.4389
image_320_Nucleus.ome.tiff,image_320_Nucleus.ome_fake_B.png,0.2819,-0.0251,0.2270,327.8007
image_1192_Nucleus.ome.tiff,image_1192_Nucleus.ome_fake_B.png,0.6201,0.0327,0.0780,74.5955
image_369_Nucleus.ome.tiff,image_369_Nucleus.ome_fake_B.png,0.7333,0.5659,0.0556,149.5934
image_1935_Nucleus.ome.tiff,image_1935_Nucleus.ome_fake_B.png,0.6529,0.4959,0.0694,126.5368
image_1099_Nucleus.ome.tiff,image_1099_Nucleus.ome_fake_B.png,0.7191,0.4333,0.0468,48.6612
image_2560_Nucleus.ome.tiff,image_2560_Nucleus.ome_fake_B.png,0.7214,0.7029,0.0258,144.6905
image_522_Nucleus.ome.tiff,image_522_Nucleus.ome_fake_B.png,0.7128,0.6745,0.0456,49.5260
image_1786_Nucleus.ome.tiff,image_1786_Nucleus.ome_fake_B.png,0.6476,0.5278,0.0633,111.7481
image_902_Nucleus.ome.tiff,image_902_Nucleus.ome_fake_B.png,0.7524,0.5065,0.0638,53.1148
image_720_Nucleus.ome.tiff,image_720_Nucleus.ome_fake_B.png,0.7652,0.3711,0.0638,56.6943
image_999_Nucleus.ome.tiff,image_999_Nucleus.ome_fake_B.png,0.7126,0.4978,0.0563,61.6114
image_1302_Nucleus.ome.tiff,image_1302_Nucleus.ome_fake_B.png,0.7837,0.6001,0.0572,52.4035
image_493_Nucleus.ome.tiff,image_493_Nucleus.ome_fake_B.png,0.6631,0.4534,0.0574,50.9210
image_2430_Nucleus.ome.tiff,image_2430_Nucleus.ome_fake_B.png,0.8410,0.6818,0.0278,171.1450
image_394_Nucleus.ome.tiff,image_394_Nucleus.ome_fake_B.png,0.3911,-0.0122,0.1816,277.4836
image_898_Nucleus.ome.tiff,image_898_Nucleus.ome_fake_B.png,0.7700,0.5154,0.0616,55.4796
image_1218_Nucleus.ome.tiff,image_1218_Nucleus.ome_fake_B.png,0.4655,-0.0499,0.0879,73.6276
image_769_Nucleus.ome.tiff,image_769_Nucleus.ome_fake_B.png,0.6265,-0.0372,0.1005,72.8453
image_877_Nucleus.ome.tiff,image_877_Nucleus.ome_fake_B.png,0.2729,-0.1222,0.1172,80.3075
image_1906_Nucleus.ome.tiff,image_1906_Nucleus.ome_fake_B.png,0.5693,0.3774,0.0923,137.8762
image_1219_Nucleus.ome.tiff,image_1219_Nucleus.ome_fake_B.png,0.2271,0.0176,0.4795,278.7372
image_1053_Nucleus.ome.tiff,image_1053_Nucleus.ome_fake_B.png,0.6531,0.0835,0.0739,74.5983
image_2478_Nucleus.ome.tiff,image_2478_Nucleus.ome_fake_B.png,0.7501,0.7541,0.0495,210.0768
image_284_Nucleus.ome.tiff,image_284_Nucleus.ome_fake_B.png,0.6343,0.4878,0.0418,114.9541
image_881_Nucleus.ome.tiff,image_881_Nucleus.ome_fake_B.png,0.7522,0.2447,0.0602,60.0923
image_2252_Nucleus.ome.tiff,image_2252_Nucleus.ome_fake_B.png,0.6843,0.6200,0.0526,92.7296
image_60_Nucleus.ome.tiff,image_60_Nucleus.ome_fake_B.png,0.2158,0.3025,0.1248,428.9282
image_10_Nucleus.ome.tiff,image_10_Nucleus.ome_fake_B.png,0.7545,0.0547,0.0612,278.9071
image_521_Nucleus.ome.tiff,image_521_Nucleus.ome_fake_B.png,0.4224,-0.1123,0.2134,130.7700
image_2537_Nucleus.ome.tiff,image_2537_Nucleus.ome_fake_B.png,0.6684,0.4007,0.0609,253.3683
image_1297_Nucleus.ome.tiff,image_1297_Nucleus.ome_fake_B.png,0.6088,0.1353,0.1009,78.7248
image_752_Nucleus.ome.tiff,image_752_Nucleus.ome_fake_B.png,0.6172,0.0246,0.0719,71.1783
image_976_Nucleus.ome.tiff,image_976_Nucleus.ome_fake_B.png,0.7569,0.3975,0.0615,60.1499
image_213_Nucleus.ome.tiff,image_213_Nucleus.ome_fake_B.png,0.5686,0.1596,0.1168,374.1695
image_364_Nucleus.ome.tiff,image_364_Nucleus.ome_fake_B.png,0.7678,0.6964,0.0373,107.0530
image_1826_Nucleus.ome.tiff,image_1826_Nucleus.ome_fake_B.png,0.7037,0.2919,0.0777,135.0896
image_895_Nucleus.ome.tiff,image_895_Nucleus.ome_fake_B.png,0.7248,0.3391,0.0508,63.1387
image_638_Nucleus.ome.tiff,image_638_Nucleus.ome_fake_B.png,0.6229,0.2438,0.0633,62.0561
image_774_Nucleus.ome.tiff,image_774_Nucleus.ome_fake_B.png,0.7981,0.5632,0.0530,45.5304
image_1743_Nucleus.ome.tiff,image_1743_Nucleus.ome_fake_B.png,0.7523,0.6192,0.0484,90.4770
image_1121_Nucleus.ome.tiff,image_1121_Nucleus.ome_fake_B.png,0.6727,0.2276,0.0686,71.4615
image_2032_Nucleus.ome.tiff,image_2032_Nucleus.ome_fake_B.png,0.4219,0.4605,0.1286,172.8302
image_1371_Nucleus.ome.tiff,image_1371_Nucleus.ome_fake_B.png,0.6735,0.3805,0.0754,78.1186
image_1662_Nucleus.ome.tiff,image_1662_Nucleus.ome_fake_B.png,0.6946,0.3697,0.0581,63.0119
image_423_Nucleus.ome.tiff,image_423_Nucleus.ome_fake_B.png,0.2627,-0.2187,0.3461,204.6412
image_1016_Nucleus.ome.tiff,image_1016_Nucleus.ome_fake_B.png,0.5427,0.1890,0.0899,81.2718
image_24_Nucleus.ome.tiff,image_24_Nucleus.ome_fake_B.png,0.7359,0.1285,0.0706,292.9155
image_2474_Nucleus.ome.tiff,image_2474_Nucleus.ome_fake_B.png,0.6794,0.5948,0.0734,282.0897
image_1835_Nucleus.ome.tiff,image_1835_Nucleus.ome_fake_B.png,0.6796,0.2460,0.0780,130.5159
image_2423_Nucleus.ome.tiff,image_2423_Nucleus.ome_fake_B.png,0.8695,0.6160,0.0281,181.9136
image_1987_Nucleus.ome.tiff,image_1987_Nucleus.ome_fake_B.png,0.6356,0.3540,0.0714,122.4036
image_243_Nucleus.ome.tiff,image_243_Nucleus.ome_fake_B.png,0.6200,0.4461,0.0714,266.8001
image_1327_Nucleus.ome.tiff,image_1327_Nucleus.ome_fake_B.png,0.6960,0.6653,0.0678,54.1105
image_2291_Nucleus.ome.tiff,image_2291_Nucleus.ome_fake_B.png,0.7182,0.4332,0.0759,297.5368
image_869_Nucleus.ome.tiff,image_869_Nucleus.ome_fake_B.png,0.8065,0.6265,0.0471,47.1359
image_1214_Nucleus.ome.tiff,image_1214_Nucleus.ome_fake_B.png,0.0330,0.1443,0.2899,164.6016
image_556_Nucleus.ome.tiff,image_556_Nucleus.ome_fake_B.png,0.7736,0.6617,0.0348,44.4091
image_933_Nucleus.ome.tiff,image_933_Nucleus.ome_fake_B.png,0.2303,0.0512,0.3092,204.3571
image_2118_Nucleus.ome.tiff,image_2118_Nucleus.ome_fake_B.png,0.6167,0.4895,0.0810,131.9883
image_1795_Nucleus.ome.tiff,image_1795_Nucleus.ome_fake_B.png,0.5547,0.5516,0.0823,128.2037
image_2172_Nucleus.ome.tiff,image_2172_Nucleus.ome_fake_B.png,0.6903,0.5257,0.0845,134.9602
image_1989_Nucleus.ome.tiff,image_1989_Nucleus.ome_fake_B.png,0.5428,0.4141,0.0881,138.0552
image_387_Nucleus.ome.tiff,image_387_Nucleus.ome_fake_B.png,0.6657,0.6871,0.0300,96.6771
image_1859_Nucleus.ome.tiff,image_1859_Nucleus.ome_fake_B.png,0.2890,0.3068,0.1450,199.6885
image_268_Nucleus.ome.tiff,image_268_Nucleus.ome_fake_B.png,0.5871,0.6533,0.0803,159.9212
image_1279_Nucleus.ome.tiff,image_1279_Nucleus.ome_fake_B.png,0.1861,0.1028,0.6378,331.3250
