ImageA,ImageB,SSIM,PCC,MAE,ECD
image_2457_Nucleus.ome.tiff,image_2457_Nucleus.ome_fake_B.png,0.6985,0.4081,0.0682,270.8302
image_1753_Nucleus.ome.tiff,image_1753_Nucleus.ome_fake_B.png,0.5538,0.4414,0.0863,130.9363
image_717_Nucleus.ome.tiff,image_717_Nucleus.ome_fake_B.png,0.1751,0.0144,0.4724,258.0324
image_71_Nucleus.ome.tiff,image_71_Nucleus.ome_fake_B.png,0.5140,0.5641,0.0477,94.8685
image_1226_Nucleus.ome.tiff,image_1226_Nucleus.ome_fake_B.png,0.7503,0.5465,0.0486,55.9056
image_2042_Nucleus.ome.tiff,image_2042_Nucleus.ome_fake_B.png,0.6613,0.4767,0.0624,107.9474
image_926_Nucleus.ome.tiff,image_926_Nucleus.ome_fake_B.png,0.6879,0.0272,0.0506,58.2472
image_230_Nucleus.ome.tiff,image_230_Nucleus.ome_fake_B.png,0.6600,0.3965,0.0809,272.9956
image_66_Nucleus.ome.tiff,image_66_Nucleus.ome_fake_B.png,0.5942,0.3646,0.0563,95.8565
image_2491_Nucleus.ome.tiff,image_2491_Nucleus.ome_fake_B.png,0.5714,0.6564,0.0457,202.7071
image_89_Nucleus.ome.tiff,image_89_Nucleus.ome_fake_B.png,0.7029,0.5359,0.0337,74.9019
image_864_Nucleus.ome.tiff,image_864_Nucleus.ome_fake_B.png,0.6307,0.2681,0.0772,69.5287
image_1312_Nucleus.ome.tiff,image_1312_Nucleus.ome_fake_B.png,0.7201,0.3775,0.0493,54.3397
image_1739_Nucleus.ome.tiff,image_1739_Nucleus.ome_fake_B.png,0.6853,0.3883,0.0569,100.1585
image_2051_Nucleus.ome.tiff,image_2051_Nucleus.ome_fake_B.png,0.5980,0.4876,0.0747,116.2383
image_2041_Nucleus.ome.tiff,image_2041_Nucleus.ome_fake_B.png,0.7831,0.6650,0.0447,79.8178
image_2306_Nucleus.ome.tiff,image_2306_Nucleus.ome_fake_B.png,0.8588,0.5441,0.0213,145.8471
image_2455_Nucleus.ome.tiff,image_2455_Nucleus.ome_fake_B.png,0.7335,0.7026,0.0341,160.8018
image_1656_Nucleus.ome.tiff,image_1656_Nucleus.ome_fake_B.png,0.5760,0.1037,0.1185,82.3709
image_1799_Nucleus.ome.tiff,image_1799_Nucleus.ome_fake_B.png,0.6623,0.3633,0.0739,118.8286
image_1643_Nucleus.ome.tiff,image_1643_Nucleus.ome_fake_B.png,0.6941,0.3694,0.0802,55.4076
image_2439_Nucleus.ome.tiff,image_2439_Nucleus.ome_fake_B.png,0.8578,0.7304,0.0233,141.9288
image_1714_Nucleus.ome.tiff,image_1714_Nucleus.ome_fake_B.png,0.6538,0.6607,0.0607,93.0532
image_477_Nucleus.ome.tiff,image_477_Nucleus.ome_fake_B.png,0.2277,0.2138,0.0989,59.5432
image_2145_Nucleus.ome.tiff,image_2145_Nucleus.ome_fake_B.png,0.6520,0.5138,0.0680,104.2743
image_970_Nucleus.ome.tiff,image_970_Nucleus.ome_fake_B.png,0.8289,0.6486,0.0408,45.1649
image_1119_Nucleus.ome.tiff,image_1119_Nucleus.ome_fake_B.png,0.4302,0.5031,0.0600,59.9410
image_348_Nucleus.ome.tiff,image_348_Nucleus.ome_fake_B.png,0.3909,0.4352,0.1408,242.5106
image_621_Nucleus.ome.tiff,image_621_Nucleus.ome_fake_B.png,0.6121,0.1561,0.0997,78.8573
image_1339_Nucleus.ome.tiff,image_1339_Nucleus.ome_fake_B.png,0.7458,0.5475,0.0581,49.1127
image_1672_Nucleus.ome.tiff,image_1672_Nucleus.ome_fake_B.png,0.4836,0.1342,0.1066,90.9599
image_1389_Nucleus.ome.tiff,image_1389_Nucleus.ome_fake_B.png,0.6425,0.2922,0.0712,71.6482
image_837_Nucleus.ome.tiff,image_837_Nucleus.ome_fake_B.png,0.6525,0.4449,0.0673,67.1238
image_2415_Nucleus.ome.tiff,image_2415_Nucleus.ome_fake_B.png,0.8173,0.7549,0.0188,112.5452
image_2014_Nucleus.ome.tiff,image_2014_Nucleus.ome_fake_B.png,0.6699,0.2543,0.0642,114.6294
image_778_Nucleus.ome.tiff,image_778_Nucleus.ome_fake_B.png,0.6452,0.0061,0.0985,78.8212
image_457_Nucleus.ome.tiff,image_457_Nucleus.ome_fake_B.png,0.0293,-0.0104,0.3113,175.2449
image_803_Nucleus.ome.tiff,image_803_Nucleus.ome_fake_B.png,0.6714,0.1789,0.0644,65.0349
image_2251_Nucleus.ome.tiff,image_2251_Nucleus.ome_fake_B.png,0.6641,0.0665,0.0745,137.0880
image_2346_Nucleus.ome.tiff,image_2346_Nucleus.ome_fake_B.png,0.7415,0.5039,0.0471,202.5155
image_2515_Nucleus.ome.tiff,image_2515_Nucleus.ome_fake_B.png,0.6388,0.4384,0.0315,171.0065
image_2036_Nucleus.ome.tiff,image_2036_Nucleus.ome_fake_B.png,0.5562,0.3595,0.0875,132.5645
image_422_Nucleus.ome.tiff,image_422_Nucleus.ome_fake_B.png,0.6902,0.1884,0.0618,62.3690
image_2318_Nucleus.ome.tiff,image_2318_Nucleus.ome_fake_B.png,0.7989,0.6865,0.0397,188.9575
image_1304_Nucleus.ome.tiff,image_1304_Nucleus.ome_fake_B.png,0.7820,0.3882,0.0569,55.4297
image_2162_Nucleus.ome.tiff,image_2162_Nucleus.ome_fake_B.png,0.6338,0.4600,0.0726,124.3519
image_528_Nucleus.ome.tiff,image_528_Nucleus.ome_fake_B.png,0.1785,0.1682,0.1220,71.7418
image_1925_Nucleus.ome.tiff,image_1925_Nucleus.ome_fake_B.png,0.6329,0.2481,0.0724,107.5799
image_870_Nucleus.ome.tiff,image_870_Nucleus.ome_fake_B.png,0.6879,0.2987,0.0772,72.3758
image_655_Nucleus.ome.tiff,image_655_Nucleus.ome_fake_B.png,0.7065,0.4416,0.0517,51.7408
image_1382_Nucleus.ome.tiff,image_1382_Nucleus.ome_fake_B.png,0.7804,0.4459,0.0408,49.0357
image_2422_Nucleus.ome.tiff,image_2422_Nucleus.ome_fake_B.png,0.8321,0.7341,0.0251,152.5055
image_861_Nucleus.ome.tiff,image_861_Nucleus.ome_fake_B.png,0.6438,0.1870,0.0878,71.3631
image_985_Nucleus.ome.tiff,image_985_Nucleus.ome_fake_B.png,0.7046,0.0989,0.0660,67.0478
image_620_Nucleus.ome.tiff,image_620_Nucleus.ome_fake_B.png,0.6186,0.2182,0.1053,87.4649
image_1678_Nucleus.ome.tiff,image_1678_Nucleus.ome_fake_B.png,0.1443,0.1425,0.5855,313.3338
image_2105_Nucleus.ome.tiff,image_2105_Nucleus.ome_fake_B.png,0.5990,0.1765,0.0795,125.9185
image_1911_Nucleus.ome.tiff,image_1911_Nucleus.ome_fake_B.png,0.5931,0.1418,0.0833,129.0812
image_1325_Nucleus.ome.tiff,image_1325_Nucleus.ome_fake_B.png,0.5965,-0.1195,0.0844,75.1942
image_2148_Nucleus.ome.tiff,image_2148_Nucleus.ome_fake_B.png,0.6770,0.3720,0.0580,102.2433
image_2326_Nucleus.ome.tiff,image_2326_Nucleus.ome_fake_B.png,0.7931,0.6615,0.0337,183.2256
image_1194_Nucleus.ome.tiff,image_1194_Nucleus.ome_fake_B.png,0.6518,0.4338,0.0663,62.5693
image_532_Nucleus.ome.tiff,image_532_Nucleus.ome_fake_B.png,0.6807,0.1609,0.0519,57.9903
image_808_Nucleus.ome.tiff,image_808_Nucleus.ome_fake_B.png,0.7498,0.1609,0.0673,65.9125
image_2372_Nucleus.ome.tiff,image_2372_Nucleus.ome_fake_B.png,0.7058,0.3330,0.0744,276.9766
image_921_Nucleus.ome.tiff,image_921_Nucleus.ome_fake_B.png,0.6438,0.3362,0.0717,69.7572
image_1434_Nucleus.ome.tiff,image_1434_Nucleus.ome_fake_B.png,0.5387,-0.0250,0.1196,101.7213
image_704_Nucleus.ome.tiff,image_704_Nucleus.ome_fake_B.png,0.5992,0.2412,0.1055,84.8565
image_438_Nucleus.ome.tiff,image_438_Nucleus.ome_fake_B.png,0.7036,0.4690,0.0745,67.8373
image_645_Nucleus.ome.tiff,image_645_Nucleus.ome_fake_B.png,0.7645,0.3998,0.0460,54.9487
image_215_Nucleus.ome.tiff,image_215_Nucleus.ome_fake_B.png,0.6913,0.3765,0.0784,271.2063
image_2353_Nucleus.ome.tiff,image_2353_Nucleus.ome_fake_B.png,0.7539,0.7229,0.0357,169.7659
image_1774_Nucleus.ome.tiff,image_1774_Nucleus.ome_fake_B.png,0.6591,0.1792,0.0721,129.4192
image_2511_Nucleus.ome.tiff,image_2511_Nucleus.ome_fake_B.png,0.7105,0.5538,0.0289,157.2551
