ImageA,ImageB,SSIM,PCC,MAE,ECD
image_81_Mitochondria.ome.tiff,image_81_Mitochondria.ome_fake_B.png,0.6250,0.2874,0.0413,96.0073
image_636_Mitochondria.ome.tiff,image_636_Mitochondria.ome_fake_B.png,0.6258,0.3994,0.0638,61.3085
image_189_Mitochondria.ome.tiff,image_189_Mitochondria.ome_fake_B.png,0.5908,0.4939,0.0702,240.0400
image_1105_Mitochondria.ome.tiff,image_1105_Mitochondria.ome_fake_B.png,0.7555,0.6252,0.0365,37.7620
image_850_Mitochondria.ome.tiff,image_850_Mitochondria.ome_fake_B.png,0.6283,0.3464,0.0442,47.0928
image_1409_Mitochondria.ome.tiff,image_1409_Mitochondria.ome_fake_B.png,0.6843,0.2425,0.0547,51.3073
image_917_Mitochondria.ome.tiff,image_917_Mitochondria.ome_fake_B.png,0.6264,0.3812,0.0600,54.2860
image_2412_Mitochondria.ome.tiff,image_2412_Mitochondria.ome_fake_B.png,0.7079,0.6164,0.0290,142.4969
image_960_Mitochondria.ome.tiff,image_960_Mitochondria.ome_fake_B.png,0.6486,0.2221,0.0576,54.5950
image_2364_Mitochondria.ome.tiff,image_2364_Mitochondria.ome_fake_B.png,0.7519,0.4401,0.0338,164.6324
image_1160_Mitochondria.ome.tiff,image_1160_Mitochondria.ome_fake_B.png,0.5731,0.5326,0.0532,48.7416
image_1495_Mitochondria.ome.tiff,image_1495_Mitochondria.ome_fake_B.png,0.5838,0.1230,0.0627,57.2077
image_2448_Mitochondria.ome.tiff,image_2448_Mitochondria.ome_fake_B.png,0.7580,0.5588,0.0466,196.3284
image_361_Mitochondria.ome.tiff,image_361_Mitochondria.ome_fake_B.png,0.3283,0.0910,0.1486,232.7998
image_1533_Mitochondria.ome.tiff,image_1533_Mitochondria.ome_fake_B.png,0.6659,0.4145,0.0504,46.7198
image_1244_Mitochondria.ome.tiff,image_1244_Mitochondria.ome_fake_B.png,0.6351,0.5244,0.0530,47.2396
image_576_Mitochondria.ome.tiff,image_576_Mitochondria.ome_fake_B.png,0.7537,0.5324,0.0416,46.2358
image_676_Mitochondria.ome.tiff,image_676_Mitochondria.ome_fake_B.png,0.6754,0.3120,0.0515,54.7701
image_1125_Mitochondria.ome.tiff,image_1125_Mitochondria.ome_fake_B.png,0.6508,0.2521,0.0476,49.3630
image_571_Mitochondria.ome.tiff,image_571_Mitochondria.ome_fake_B.png,0.5518,0.2016,0.0726,64.7061
image_2344_Mitochondria.ome.tiff,image_2344_Mitochondria.ome_fake_B.png,0.6990,0.5235,0.0429,169.2136
image_65_Mitochondria.ome.tiff,image_65_Mitochondria.ome_fake_B.png,0.5718,0.1964,0.0369,92.1528
image_1001_Mitochondria.ome.tiff,image_1001_Mitochondria.ome_fake_B.png,0.6092,0.3518,0.0573,51.5797
image_162_Mitochondria.ome.tiff,image_162_Mitochondria.ome_fake_B.png,0.7589,0.4574,0.0428,203.3525
image_314_Mitochondria.ome.tiff,image_314_Mitochondria.ome_fake_B.png,0.5997,-0.0453,0.0748,137.8447
image_1435_Mitochondria.ome.tiff,image_1435_Mitochondria.ome_fake_B.png,0.7054,0.3382,0.0534,49.4005
image_2405_Mitochondria.ome.tiff,image_2405_Mitochondria.ome_fake_B.png,0.5438,0.7380,0.0238,112.5203
image_715_Mitochondria.ome.tiff,image_715_Mitochondria.ome_fake_B.png,0.6448,0.5433,0.0484,47.0242
image_596_Mitochondria.ome.tiff,image_596_Mitochondria.ome_fake_B.png,0.4300,0.1845,0.1042,77.5095
image_34_Mitochondria.ome.tiff,image_34_Mitochondria.ome_fake_B.png,0.5296,0.1017,0.0744,233.4668
