ImageA,ImageB,SSIM,PCC,MAE,ECD
image_292_Nucleus.ome.tiff,image_292_Nucleus.ome_fake_B.png,0.6005,0.4633,0.0312,100.6643
image_1684_Nucleus.ome.tiff,image_1684_Nucleus.ome_fake_B.png,0.6903,0.1858,0.0671,61.7550
image_1597_Nucleus.ome.tiff,image_1597_Nucleus.ome_fake_B.png,0.7407,0.0921,0.0719,67.7416
image_34_Nucleus.ome.tiff,image_34_Nucleus.ome_fake_B.png,0.5263,0.3585,0.0807,246.6395
image_1765_Nucleus.ome.tiff,image_1765_Nucleus.ome_fake_B.png,0.5725,0.1735,0.0886,141.3232
image_1349_Nucleus.ome.tiff,image_1349_Nucleus.ome_fake_B.png,0.8279,0.4350,0.0544,67.9966
image_2355_Nucleus.ome.tiff,image_2355_Nucleus.ome_fake_B.png,0.7730,0.7063,0.0546,238.8264
image_1966_Nucleus.ome.tiff,image_1966_Nucleus.ome_fake_B.png,0.6903,0.3456,0.0760,138.1485
image_1413_Nucleus.ome.tiff,image_1413_Nucleus.ome_fake_B.png,0.6928,0.4289,0.0750,63.0838
image_1315_Nucleus.ome.tiff,image_1315_Nucleus.ome_fake_B.png,0.8153,0.7130,0.0454,39.0402
image_158_Nucleus.ome.tiff,image_158_Nucleus.ome_fake_B.png,0.7343,0.7429,0.0653,236.3160
image_2274_Nucleus.ome.tiff,image_2274_Nucleus.ome_fake_B.png,0.6724,0.4573,0.0570,102.6694
image_2052_Nucleus.ome.tiff,image_2052_Nucleus.ome_fake_B.png,0.6972,0.6439,0.0508,92.9073
image_1154_Nucleus.ome.tiff,image_1154_Nucleus.ome_fake_B.png,0.7470,0.5298,0.0794,63.5719
image_1036_Nucleus.ome.tiff,image_1036_Nucleus.ome_fake_B.png,0.6367,0.3675,0.0690,69.5523
image_2098_Nucleus.ome.tiff,image_2098_Nucleus.ome_fake_B.png,0.7373,0.5138,0.0483,82.8347
image_1234_Nucleus.ome.tiff,image_1234_Nucleus.ome_fake_B.png,0.6545,0.4491,0.0696,69.4723
image_1936_Nucleus.ome.tiff,image_1936_Nucleus.ome_fake_B.png,0.6147,0.4675,0.0666,112.4445
image_1920_Nucleus.ome.tiff,image_1920_Nucleus.ome_fake_B.png,0.5572,0.5145,0.0757,117.3171
image_447_Nucleus.ome.tiff,image_447_Nucleus.ome_fake_B.png,0.7183,0.0343,0.0652,74.3962
image_1956_Nucleus.ome.tiff,image_1956_Nucleus.ome_fake_B.png,0.5791,0.3602,0.0814,131.1711
image_2139_Nucleus.ome.tiff,image_2139_Nucleus.ome_fake_B.png,0.6668,0.5279,0.0597,97.9085
image_1523_Nucleus.ome.tiff,image_1523_Nucleus.ome_fake_B.png,0.7469,0.6263,0.0482,53.3036
image_412_Nucleus.ome.tiff,image_412_Nucleus.ome_fake_B.png,0.4216,0.1776,0.1388,233.3395
image_2278_Nucleus.ome.tiff,image_2278_Nucleus.ome_fake_B.png,0.5922,0.5428,0.0731,101.6894
image_1768_Nucleus.ome.tiff,image_1768_Nucleus.ome_fake_B.png,0.5965,0.5405,0.0715,119.8391
image_389_Nucleus.ome.tiff,image_389_Nucleus.ome_fake_B.png,0.7804,0.4411,0.0377,119.3124
image_2012_Nucleus.ome.tiff,image_2012_Nucleus.ome_fake_B.png,0.7911,0.6320,0.0385,80.7811
image_474_Nucleus.ome.tiff,image_474_Nucleus.ome_fake_B.png,0.7872,0.5359,0.0585,54.2481
image_542_Nucleus.ome.tiff,image_542_Nucleus.ome_fake_B.png,0.2346,-0.0963,0.4015,235.8728
