ImageA,ImageB,SSIM,PCC,MAE,ECD
image_1067_Nucleus.ome.tiff,image_1067_Nucleus.ome_fake_B.png,0.6384,0.0130,0.0763,71.8321
image_2049_Nucleus.ome.tiff,image_2049_Nucleus.ome_fake_B.png,0.6183,0.4958,0.0655,89.1058
image_2166_Nucleus.ome.tiff,image_2166_Nucleus.ome_fake_B.png,0.6756,0.3676,0.0699,126.1262
image_338_Nucleus.ome.tiff,image_338_Nucleus.ome_fake_B.png,0.1425,0.1576,0.0769,145.3009
image_1135_Nucleus.ome.tiff,image_1135_Nucleus.ome_fake_B.png,0.6850,0.2643,0.0678,69.4885
image_1131_Nucleus.ome.tiff,image_1131_Nucleus.ome_fake_B.png,0.8525,0.7649,0.0326,34.8953
image_1679_Nucleus.ome.tiff,image_1679_Nucleus.ome_fake_B.png,0.7620,0.4552,0.0422,50.0921
image_2265_Nucleus.ome.tiff,image_2265_Nucleus.ome_fake_B.png,0.5617,0.4455,0.0900,127.8685
image_913_Nucleus.ome.tiff,image_913_Nucleus.ome_fake_B.png,0.7623,0.3416,0.0513,60.1212
image_22_Nucleus.ome.tiff,image_22_Nucleus.ome_fake_B.png,0.7778,0.0886,0.0484,223.5688
image_1988_Nucleus.ome.tiff,image_1988_Nucleus.ome_fake_B.png,0.7512,0.6455,0.0460,92.7010
image_1543_Nucleus.ome.tiff,image_1543_Nucleus.ome_fake_B.png,0.6795,0.5920,0.0507,53.1046
image_816_Nucleus.ome.tiff,image_816_Nucleus.ome_fake_B.png,0.6402,0.3722,0.0608,59.2556
image_1811_Nucleus.ome.tiff,image_1811_Nucleus.ome_fake_B.png,0.6501,0.2449,0.0733,126.5969
image_479_Nucleus.ome.tiff,image_479_Nucleus.ome_fake_B.png,0.6965,0.0504,0.0862,79.7239
image_1938_Nucleus.ome.tiff,image_1938_Nucleus.ome_fake_B.png,0.6009,0.2942,0.0803,129.5133
image_1298_Nucleus.ome.tiff,image_1298_Nucleus.ome_fake_B.png,0.5740,0.2311,0.0791,72.4575
image_2235_Nucleus.ome.tiff,image_2235_Nucleus.ome_fake_B.png,0.6028,0.4656,0.0821,117.0367
image_2191_Nucleus.ome.tiff,image_2191_Nucleus.ome_fake_B.png,0.6543,0.5102,0.0656,112.9802
image_2431_Nucleus.ome.tiff,image_2431_Nucleus.ome_fake_B.png,0.7863,0.7303,0.0474,203.7633
image_1444_Nucleus.ome.tiff,image_1444_Nucleus.ome_fake_B.png,0.7922,0.6727,0.0325,37.8467
image_1096_Nucleus.ome.tiff,image_1096_Nucleus.ome_fake_B.png,0.7611,0.2495,0.0695,69.8965
image_249_Nucleus.ome.tiff,image_249_Nucleus.ome_fake_B.png,0.7237,0.6715,0.0475,198.9278
image_227_Nucleus.ome.tiff,image_227_Nucleus.ome_fake_B.png,0.5768,0.5071,0.0646,256.4571
image_39_Nucleus.ome.tiff,image_39_Nucleus.ome_fake_B.png,0.5672,0.4458,0.0514,189.7014
image_732_Nucleus.ome.tiff,image_732_Nucleus.ome_fake_B.png,0.7328,0.5045,0.0531,56.2509
image_1221_Nucleus.ome.tiff,image_1221_Nucleus.ome_fake_B.png,0.7714,0.3652,0.0638,63.0462
image_2540_Nucleus.ome.tiff,image_2540_Nucleus.ome_fake_B.png,0.7807,0.4448,0.0340,196.3702
image_2305_Nucleus.ome.tiff,image_2305_Nucleus.ome_fake_B.png,0.8765,0.4319,0.0312,204.1192
image_151_Nucleus.ome.tiff,image_151_Nucleus.ome_fake_B.png,0.7964,0.8047,0.0258,143.8642
image_2379_Nucleus.ome.tiff,image_2379_Nucleus.ome_fake_B.png,0.8238,0.6726,0.0187,146.7466
image_1726_Nucleus.ome.tiff,image_1726_Nucleus.ome_fake_B.png,0.6078,0.3283,0.0905,125.7840
image_1055_Nucleus.ome.tiff,image_1055_Nucleus.ome_fake_B.png,0.7592,0.5038,0.0604,55.0914
image_1607_Nucleus.ome.tiff,image_1607_Nucleus.ome_fake_B.png,0.6132,0.2127,0.1394,104.2578
image_1642_Nucleus.ome.tiff,image_1642_Nucleus.ome_fake_B.png,0.7430,0.3438,0.0441,54.7621
image_1057_Nucleus.ome.tiff,image_1057_Nucleus.ome_fake_B.png,0.5987,0.5319,0.0581,53.6165
image_839_Nucleus.ome.tiff,image_839_Nucleus.ome_fake_B.png,0.5377,0.1605,0.1093,93.9207
image_1418_Nucleus.ome.tiff,image_1418_Nucleus.ome_fake_B.png,0.7079,0.3496,0.0499,54.9158
image_2483_Nucleus.ome.tiff,image_2483_Nucleus.ome_fake_B.png,0.8197,0.6406,0.0355,178.3537
image_735_Nucleus.ome.tiff,image_735_Nucleus.ome_fake_B.png,0.2435,0.4961,0.4394,228.1056
image_445_Nucleus.ome.tiff,image_445_Nucleus.ome_fake_B.png,0.0334,-0.0213,0.2945,164.9707
image_1588_Nucleus.ome.tiff,image_1588_Nucleus.ome_fake_B.png,0.7205,0.1781,0.0884,78.7918
image_1078_Nucleus.ome.tiff,image_1078_Nucleus.ome_fake_B.png,0.7036,0.3841,0.0409,46.2668
image_2504_Nucleus.ome.tiff,image_2504_Nucleus.ome_fake_B.png,0.7946,0.3237,0.0404,224.6077
image_1409_Nucleus.ome.tiff,image_1409_Nucleus.ome_fake_B.png,0.7081,0.7032,0.0822,54.0194
image_1366_Nucleus.ome.tiff,image_1366_Nucleus.ome_fake_B.png,0.7850,0.5711,0.0522,51.0395
image_1478_Nucleus.ome.tiff,image_1478_Nucleus.ome_fake_B.png,0.7478,0.4781,0.0570,51.9159
image_1285_Nucleus.ome.tiff,image_1285_Nucleus.ome_fake_B.png,0.7728,0.1085,0.0647,80.3288
image_1110_Nucleus.ome.tiff,image_1110_Nucleus.ome_fake_B.png,0.0291,0.0403,0.3052,169.3999
image_1185_Nucleus.ome.tiff,image_1185_Nucleus.ome_fake_B.png,0.7735,-0.0919,0.0689,70.1986
image_1092_Nucleus.ome.tiff,image_1092_Nucleus.ome_fake_B.png,0.7584,0.3683,0.0666,54.7170
image_793_Nucleus.ome.tiff,image_793_Nucleus.ome_fake_B.png,0.6928,-0.0766,0.0608,71.0080
image_1805_Nucleus.ome.tiff,image_1805_Nucleus.ome_fake_B.png,0.5447,0.4757,0.0841,126.7942
image_5_Nucleus.ome.tiff,image_5_Nucleus.ome_fake_B.png,0.7318,0.0996,0.0546,225.7659
image_141_Nucleus.ome.tiff,image_141_Nucleus.ome_fake_B.png,0.8279,0.5944,0.0419,231.5958
image_1790_Nucleus.ome.tiff,image_1790_Nucleus.ome_fake_B.png,0.6765,0.5710,0.0558,99.5968
image_693_Nucleus.ome.tiff,image_693_Nucleus.ome_fake_B.png,0.5492,0.2770,0.0986,81.8854
image_644_Nucleus.ome.tiff,image_644_Nucleus.ome_fake_B.png,0.7624,0.6302,0.0544,43.2510
image_273_Nucleus.ome.tiff,image_273_Nucleus.ome_fake_B.png,0.4655,0.4009,0.0848,157.1752
image_343_Nucleus.ome.tiff,image_343_Nucleus.ome_fake_B.png,0.2788,0.7440,0.0493,102.4208
image_1907_Nucleus.ome.tiff,image_1907_Nucleus.ome_fake_B.png,0.6810,0.4928,0.0615,115.5573
image_247_Nucleus.ome.tiff,image_247_Nucleus.ome_fake_B.png,0.5097,0.4356,0.0696,263.7867
image_358_Nucleus.ome.tiff,image_358_Nucleus.ome_fake_B.png,0.3929,0.2160,0.1741,263.7417
image_718_Nucleus.ome.tiff,image_718_Nucleus.ome_fake_B.png,0.6350,0.2126,0.0679,69.4848
image_1844_Nucleus.ome.tiff,image_1844_Nucleus.ome_fake_B.png,0.6074,0.2101,0.0885,143.1354
image_76_Nucleus.ome.tiff,image_76_Nucleus.ome_fake_B.png,0.7433,0.5628,0.0422,96.6225
